model,abalone-17_vs_7-8-9-10,abalone-19_vs_10-11-12-13,abalone-20_vs_8-9-10,abalone-21_vs_8,abalone-3_vs_11,abalone19,abalone9-18,car-good,car-vgood,cleveland-0_vs_4,dermatology-6,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-2-6-7_vs_3-5,ecoli-0-3-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,ecoli-0-3-4_vs_5,ecoli-0-4-6_vs_5,ecoli-0-6-7_vs_3-5,ecoli-0-6-7_vs_5,ecoli-0_vs_1,ecoli1,ecoli2,ecoli3,ecoli4,flare-F,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,glass-0-1-5_vs_2,glass-0-4_vs_5,glass-0-6_vs_5,glass0,glass1,glass2,glass4,glass5,glass6,habermanImb,iris0,kr-vs-k-one_vs_fifteen,kr-vs-k-three_vs_eleven,kr-vs-k-zero-one_vs_draw,kr-vs-k-zero_vs_eight,kr-vs-k-zero_vs_fifteen,led7digit-0-2-4-5-6-7-8-9_vs_1,lymphography-normal-fibrosis,new-thyroid1,new-thyroid2,page-blocks-1-3_vs_4,page-blocks0,pimaImb,poker-8-9_vs_5,poker-8-9_vs_6,poker-8_vs_6,poker-9_vs_7,segment0,shuttle-2_vs_5,shuttle-6_vs_2-3,vehicle0,vehicle1,vehicle2,vehicle3,vowel0,winequality-red-3_vs_5,winequality-red-4,winequality-red-8_vs_6,winequality-red-8_vs_6-7,winequality-white-3-9_vs_5,winequality-white-3_vs_7,winequality-white-9_vs_4,wisconsinImb,yeast-0-2-5-6_vs_3-7-8-9,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-3-5-9_vs_7-8,yeast-0-5-6-7-9_vs_4,yeast-1-2-8-9_vs_7,yeast-1-4-5-8_vs_7,yeast-2_vs_4,yeast-2_vs_8,yeast1,yeast3,yeast4,yeast5,yeast6,zoo-3
AE,0.5548245614035088,0.6630727762803235,0.517636684303351,0.9093567251461987,1.0,0.6924004825090471,0.7737520128824477,0.5146299483648882,0.5301455301455302,0.9791666666666666,0.9191176470588235,0.9818181818181818,0.7548076923076923,0.7043010752688172,0.6161290322580645,0.8727272727272728,0.6477272727272727,0.7702702702702703,0.74,0.6216216216216216,0.6170212765957447,0.7083333333333334,0.6351351351351351,0.79,0.525,0.5287356321839081,0.5420673076923077,0.5151515151515151,0.5971896955503513,0.80859375,0.9235772357723577,0.8494318181818181,0.7432432432432432,0.5241935483870968,0.5588235294117647,0.575,0.7192118226600985,0.6273148148148148,0.7884615384615385,0.6833333333333333,0.8292682926829268,0.8918918918918919,0.5411764705882353,0.945,1.0,0.6998968008255934,0.6775510204081633,0.6701631701631703,1.0,0.9621913580246914,0.9642857142857143,0.75,0.9047619047619048,0.5337078651685394,0.9051918325824735,0.6498148148148148,0.524390243902439,0.508904109589041,0.6147260273972603,0.5319148936170213,0.7283057851239669,0.9489296636085627,0.8977272727272727,0.5521153846153846,0.5577200577200577,0.562049062049062,0.5693096502472075,0.9595679012345679,0.7773722627737226,0.5225066195939982,0.705078125,0.6856287425149701,0.5431506849315069,0.9289772727272727,0.8181818181818182,0.9147940074906367,0.7558011049723757,0.7469613259668508,0.6130434782608696,0.5598086124401914,0.5298913043478262,0.6879699248120301,0.9288537549407114,0.6182795698924731,0.566956905103053,0.5793158861340679,0.743801652892562,0.8472222222222222,0.8305418719211823,0.9
AveLMDD,0.5031980994152047,0.5575022461814915,0.531084656084656,0.8157894736842105,1.0,0.6962203457981504,0.8027375201288245,0.5021514629948365,0.572072072072072,0.9791666666666667,0.6102941176470589,0.6590909090909091,0.5432692307692308,0.5833333333333333,0.5032258064516129,0.7772727272727272,0.5113636363636364,0.5878378378378379,0.5800000000000001,0.7162162162162162,0.523404255319149,0.6041666666666667,0.5202702702702703,0.8250000000000001,0.6312500000000001,0.9632183908045977,0.7403846153846153,0.7113237639553429,0.9133489461358314,0.671875,0.8590785907859079,0.8039772727272727,0.5472972972972974,0.564516129032258,0.5588235294117647,0.6,0.7438423645320197,0.5081018518518519,0.6923076923076923,0.5041666666666667,0.6890243902439025,0.6351351351351351,0.5006535947712418,0.915,0.5953377598152425,0.6896284829721362,0.6330357142857143,0.6363636363636364,0.6535796766743649,0.8202160493827161,0.8392857142857142,0.5992063492063492,0.876984126984127,0.6020599250936329,0.7623846461270164,0.7242592592592594,0.5448780487804878,0.5705479452054795,0.6857876712328766,0.5531914893617023,0.6564508723599632,0.9889908256880734,0.5,0.7171153846153846,0.6825396825396824,0.5952380952380952,0.6363303424281267,0.924074074074074,0.552919708029197,0.6404824948514269,0.767578125,0.7470059880239521,0.5934931506849315,0.8423295454545454,0.696969696969697,0.8323970037453183,0.6389502762430939,0.8127071823204421,0.5581521739130435,0.6124401913875598,0.5606884057971014,0.5551378446115288,0.9555335968379446,0.553763440860215,0.5802105147139865,0.5909664830119375,0.8000635727908455,0.9336419753086421,0.8150246305418719,0.85
AvgBag,0.7923976608187134,0.5467205750224619,0.8761022927689595,0.9619883040935673,0.9897959183673469,0.5898673100120628,0.8800322061191626,0.5303356282271945,0.5624855624855625,0.9375,0.9338235294117647,1.0,0.8413461538461539,0.7231182795698925,0.6967741935483871,0.8500000000000001,0.8125,0.777027027027027,0.765,0.7972972972972973,0.672340425531915,0.75,0.8040540540540542,0.845,0.70625,0.5103448275862069,0.6117788461538461,0.543859649122807,0.6112412177985949,0.7265625,0.5799457994579945,0.75,0.5067567567567568,0.6290322580645161,0.7647058823529411,0.875,0.6231527093596059,0.6412037037037037,0.5833333333333334,0.7916666666666666,0.8658536585365854,0.5990990990990991,0.534640522875817,0.525,0.5044745958429562,0.7794633642930857,0.8991496598639456,0.6777389277389277,0.7143956889915319,0.6527777777777778,1.0,0.7142857142857143,0.8611111111111112,0.750936329588015,0.7880213631739572,0.6751851851851852,0.6165853658536585,0.752054794520548,0.7303082191780822,0.9042553191489361,0.6636057545148454,0.5391437308868502,0.9772727272727273,0.5034615384615384,0.5012626262626263,0.6226551226551227,0.5094305072331075,0.8212962962962963,0.7956204379562044,0.588702559576346,0.703125,0.687125748502994,0.7541095890410959,0.9701704545454545,0.5757575757575757,0.7909644194756554,0.6082872928176796,0.5582872928176795,0.6152173913043478,0.6114832535885167,0.5579710144927537,0.7230576441102756,0.7994071146245059,0.6639784946236559,0.5405599030089276,0.5262855831037649,0.5851875397329942,0.5285493827160495,0.5428571428571429,0.95
AvgKNN,0.8340643274853801,0.6320754716981133,0.8430335097001763,0.9883040935672514,0.6326530612244898,0.6483715319662243,0.8864734299516908,0.5,0.5,1.0,0.7463235294117647,0.9636363636363636,0.8125,0.7419354838709677,0.7419354838709677,0.7727272727272727,0.7102272727272727,0.8243243243243243,0.86,0.8378378378378378,0.7617021276595746,0.7152777777777778,0.7635135135135135,0.9500000000000001,0.7812499999999999,0.7586206896551724,0.6045673076923077,0.5757575757575758,0.5362997658079625,0.83203125,0.7569105691056911,0.7755681818181819,0.6283783783783784,0.5403225806451613,0.7941176470588235,0.8,0.7389162561576355,0.5509259259259259,0.5705128205128205,0.8666666666666666,0.9390243902439024,0.7387387387387387,0.6535947712418302,0.8300000000000001,0.8495958429561201,0.8120227038183694,0.8499149659863946,0.5646853146853146,0.7677059276366436,0.7091049382716049,1.0,0.7698412698412699,0.9206349206349207,0.6741573033707865,0.6796159715157681,0.7235185185185186,0.693170731707317,0.8089041095890411,0.8587328767123288,0.9574468085106382,0.7956841138659321,0.9851681957186543,0.9772727272727273,0.5561538461538462,0.5838744588744589,0.7081529581529582,0.5852407983885735,0.5314814814814814,0.8467153284671534,0.5989997057958223,0.779296875,0.721556886227545,0.7726027397260273,0.9758522727272727,0.7272727272727273,0.9698033707865168,0.6657458563535912,0.7005524861878454,0.6108695652173913,0.5138755980861244,0.6096014492753623,0.7105263157894737,0.8735177865612648,0.6317204301075269,0.5143282266064146,0.5387970615243343,0.7031150667514304,0.6844135802469136,0.6123152709359605,0.7000000000000001
BRM,0.8379020467836258,0.6235399820305481,0.8364197530864197,0.9883040935672515,0.6496598639455782,0.6497788500201045,0.8808373590982287,0.5090361445783133,0.524024024024024,0.9791666666666666,0.7095588235294117,0.9454545454545454,0.8076923076923077,0.7526881720430108,0.7290322580645161,0.7863636363636364,0.7102272727272727,0.8310810810810811,0.87,0.8175675675675675,0.7617021276595745,0.7152777777777778,0.7635135135135135,0.965,0.825,0.7540229885057471,0.6009615384615384,0.5645933014354068,0.5199063231850117,0.8046875,0.8102981029810298,0.7755681818181818,0.6216216216216216,0.5403225806451614,0.7058823529411764,0.7749999999999999,0.7635467980295567,0.5601851851851851,0.5512820512820513,0.8666666666666667,0.9634146341463414,0.7522522522522522,0.6549019607843137,0.795,0.8800519630484989,0.8221878224974201,0.8115646258503402,0.6171328671328671,0.7347959969207083,0.7145061728395061,1.0,0.75,0.9246031746031746,0.7284644194756554,0.6720952623165237,0.7224074074074074,0.6985365853658536,0.7308219178082191,0.8518835616438356,0.9787234042553192,0.7927762473217018,0.9853211009174312,0.9772727272727273,0.5473076923076923,0.5833333333333333,0.7034632034632035,0.5945797472990295,0.55679012345679,0.8540145985401459,0.5684024713150926,0.7734375,0.688622754491018,0.7972602739726027,0.9801136363636364,0.6060606060606061,0.971441947565543,0.6411602209944751,0.7049723756906077,0.5934782608695652,0.5244019138755981,0.6023550724637681,0.7005012531328321,0.8715415019762847,0.6263440860215054,0.5181858260773724,0.5305325987144169,0.7072472981563891,0.6782407407407407,0.6054187192118227,0.6
CBLOF,0.7304459064327486,0.5763701707097934,0.6869488536155203,0.9444444444444444,1.0,0.5038198632891033,0.8518518518518519,0.5194707401032702,0.7066297066297067,0.96875,0.6911764705882353,0.9818181818181818,0.8076923076923077,0.7096774193548386,0.6129032258064516,0.7363636363636363,0.6420454545454546,0.7567567567567568,0.605,0.6689189189189189,0.7063829787234042,0.5069444444444444,0.5945945945945946,0.9349999999999999,0.50625,0.5402298850574712,0.5745192307692308,0.5007974481658692,0.5971896955503513,0.8046875,0.6981029810298104,0.8295454545454546,0.6418918918918919,0.564516129032258,0.5294117647058824,0.75,0.7980295566502463,0.5393518518518519,0.5384615384615384,0.8250000000000001,0.9146341463414633,0.8288288288288288,0.6130718954248366,0.6799999999999999,0.9663683602771362,0.6753353973168215,0.5066326530612244,0.75,0.9695919938414165,0.5401234567901234,0.9642857142857143,0.8214285714285714,0.8333333333333333,0.7247191011235955,0.8674429588722569,0.7237037037037037,0.5990243902439024,0.7945205479452055,0.7988013698630136,0.7872340425531914,0.5905647382920111,0.9946483180428134,0.9772727272727273,0.5159615384615385,0.5025252525252525,0.6872294372294372,0.5566746017212965,0.7253086419753086,0.781021897810219,0.5654604295380995,0.701171875,0.718562874251497,0.6972602739726028,0.9261363636363636,0.6363636363636364,0.9452247191011236,0.6339779005524862,0.638950276243094,0.6706521739130434,0.6076555023923444,0.5534420289855073,0.6691729323308271,0.8003952569169961,0.7096774193548387,0.5079356331973989,0.5120523415977961,0.5842339478703116,0.5405092592592593,0.5778325123152709,0.95
COF,0.7351973684210527,0.5512129380053908,0.8800705467372135,0.9444444444444444,1.0,0.6149979895456373,0.9009661835748792,0.6628657487091223,0.5255255255255256,0.96875,0.9816176470588236,0.9818181818181818,0.9326923076923077,0.868279569892473,0.8161290322580645,0.8954545454545455,0.8068181818181819,0.8513513513513514,0.81,0.8648648648648648,0.8,0.7152777777777777,0.9054054054054055,0.885,0.85,0.6643678160919539,0.5360576923076924,0.6762360446570973,0.6697892271662763,0.89453125,0.5165311653116531,0.8295454545454546,0.6013513513513513,0.5161290322580645,0.625,0.625,0.6551724137931034,0.5138888888888888,0.6538461538461539,0.8416666666666667,0.8292682926829268,0.7792792792792793,0.5437908496732026,0.74,0.5760681293302541,0.6519091847265222,0.7357993197278911,0.5454545454545454,0.9630484988452657,0.621141975308642,1.0,0.876984126984127,0.9761904761904763,0.7921348314606742,0.7610539892457491,0.6225925925925927,0.6370731707317073,0.8732876712328768,0.6772260273972603,1.0,0.7671028466483012,0.9831804281345565,0.9431818181818181,0.5975,0.577922077922078,0.6441197691197691,0.5118110236220473,0.7027777777777777,0.8576642335766422,0.5342747867019711,0.775390625,0.6751497005988024,0.676027397260274,0.9886363636363636,0.8181818181818181,0.5742041198501873,0.5488950276243094,0.5914364640883978,0.7206521739130435,0.5043062200956938,0.5942028985507246,0.7205513784461153,0.883399209486166,0.6505376344086021,0.5856387082552628,0.5238751147842057,0.629688493324857,0.625,0.5738916256157636,0.55
COPOD,0.5579312865497076,0.6401617250673854,0.6128747795414462,0.8684210526315789,0.9965986394557823,0.6461600321672698,0.78743961352657,0.5684165232358003,0.5094710094710094,0.9479166666666666,0.863970588235294,0.8636363636363635,0.5048076923076923,0.5860215053763441,0.532258064516129,0.8909090909090909,0.6534090909090909,0.7702702702702702,0.5900000000000001,0.5945945945945945,0.5446808510638297,0.7152777777777778,0.6486486486486487,0.7200000000000001,0.59375,0.8620689655172414,0.7632211538461539,0.5901116427432217,0.7096018735362998,0.7734375,0.9468834688346883,0.8494318181818181,0.8040540540540541,0.5725806451612903,0.7352941176470589,0.5249999999999999,0.768472906403941,0.5115740740740741,0.7692307692307693,0.575,0.8780487804878049,0.9144144144144144,0.6130718954248365,0.825,1.0,0.7779153766769866,0.7585034013605442,0.7663170163170163,1.0,0.9760802469135802,1.0,0.8214285714285714,0.9484126984126984,0.8352059925093633,0.8696410405464322,0.6749999999999999,0.5253658536585366,0.571917808219178,0.5633561643835616,0.851063829787234,0.8609198041016223,0.9909785932721713,0.7159090909090908,0.6759615384615385,0.6329365079365079,0.5762987012987013,0.6084966123420619,0.9540123456790124,0.9051094890510949,0.5481023830538393,0.705078125,0.688622754491018,0.5150684931506849,0.9105113636363636,0.5757575757575758,0.9969569288389513,0.7930939226519338,0.804696132596685,0.5434782608695652,0.5770334928229666,0.5688405797101449,0.8007518796992481,0.8883399209486166,0.5456989247311828,0.5563760608398545,0.5168732782369148,0.7654164017800382,0.9139660493827161,0.9039408866995075,1.0
EE,0.8961988304093567,0.628032345013477,0.9294532627865961,0.9853801169590644,0.9897959183673469,0.6815440289505428,0.9001610305958132,0.7233218588640276,0.6652806652806653,0.9895833333333334,0.9963235294117647,0.9818181818181818,0.7836538461538461,0.7688172043010753,0.8870967741935484,0.8681818181818182,0.7784090909090909,0.8175675675675675,0.935,0.777027027027027,0.7617021276595745,0.8263888888888888,0.8783783783783784,0.94,0.8125,0.6597701149425287,0.5384615384615384,0.773524720893142,0.5175644028103045,0.8828125,0.8926829268292683,0.9460227272727273,0.6081081081081081,0.596774193548387,0.8823529411764706,0.625,0.7463054187192119,0.5740740740740741,0.6217948717948718,0.775,0.853658536585366,0.9324324324324325,0.7294117647058824,0.635,0.8594110854503464,0.7452012383900928,0.7317176870748299,0.9061771561771561,1.0,0.7723765432098766,1.0,0.7182539682539683,0.8333333333333334,0.9307116104868913,0.9231488882429879,0.6924074074074074,0.5346341463414634,0.6780821917808219,0.5847602739726028,0.8617021276595744,0.5601086623813897,0.9918960244648318,0.8409090909090909,0.6205769230769231,0.6138167388167388,0.6998556998556998,0.6009888298846364,0.8891975308641975,0.8394160583941606,0.5172109443954104,0.73046875,0.7095808383233533,0.6171232876712328,0.9630681818181819,0.5757575757575757,0.9939138576779026,0.587292817679558,0.6679558011049724,0.5978260869565217,0.524401913875598,0.5027173913043478,0.7255639097744361,0.8695652173913043,0.6666666666666667,0.527499173371542,0.5102157943067034,0.6913541004450096,0.7152777777777778,0.710344827586207,0.75
FA,0.7286184210526316,0.6302785265049416,0.6662257495590829,0.9649122807017544,1.0,0.5548854041013269,0.9170692431561996,0.5830464716006885,0.6174636174636174,0.9791666666666666,0.8823529411764706,0.9818181818181818,0.8461538461538461,0.7580645161290323,0.7096774193548387,0.9045454545454545,0.7443181818181819,0.8716216216216216,0.9199999999999999,0.777027027027027,0.825531914893617,0.8680555555555556,0.7972972972972974,0.875,0.675,0.7333333333333333,0.6141826923076923,0.6012759170653907,0.6580796252927401,0.91796875,0.8905149051490515,0.8380681818181819,0.7702702702702704,0.5403225806451613,0.6176470588235294,0.55,0.7044334975369457,0.576388888888889,0.7948717948717948,0.7,0.8414634146341464,0.8558558558558558,0.5058823529411764,0.72,1.0,0.7875128998968008,0.8327380952380953,0.6520979020979021,1.0,0.8047839506172839,0.9285714285714286,0.7261904761904762,0.8888888888888888,0.5337078651685394,0.9197609359104781,0.6988888888888889,0.5668292682926829,0.6376712328767122,0.613013698630137,0.8191489361702128,0.7625497398224672,0.9909785932721712,0.9431818181818181,0.6973076923076923,0.5146103896103896,0.5768398268398268,0.5251785387291705,0.9237654320987654,0.8065693430656935,0.5113268608414239,0.720703125,0.7170658682634731,0.5993150684931507,0.9588068181818181,0.6363636363636364,0.9712078651685393,0.7367403314917127,0.717403314917127,0.567391304347826,0.5215311004784688,0.542572463768116,0.7167919799498748,0.8764822134387351,0.6182795698924731,0.5714206987765899,0.5786271808999082,0.7253655435473617,0.787037037037037,0.7931034482758621,0.65
