model,abalone-17_vs_7-8-9-10,abalone-19_vs_10-11-12-13,abalone-20_vs_8-9-10,abalone-21_vs_8,abalone-3_vs_11,abalone19,abalone9-18,car-good,car-vgood,cleveland-0_vs_4,dermatology-6,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-2-6-7_vs_3-5,ecoli-0-3-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,ecoli-0-3-4_vs_5,ecoli-0-4-6_vs_5,ecoli-0-6-7_vs_3-5,ecoli-0-6-7_vs_5,ecoli-0_vs_1,ecoli1,ecoli2,ecoli3,ecoli4,flare-F,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,glass-0-1-5_vs_2,glass-0-4_vs_5,glass-0-6_vs_5,glass0,glass1,glass2,glass4,glass5,glass6,habermanImb,iris0,kr-vs-k-one_vs_fifteen,kr-vs-k-three_vs_eleven,kr-vs-k-zero-one_vs_draw,kr-vs-k-zero_vs_eight,kr-vs-k-zero_vs_fifteen,led7digit-0-2-4-5-6-7-8-9_vs_1,lymphography-normal-fibrosis,new-thyroid1,new-thyroid2,page-blocks-1-3_vs_4,page-blocks0,pimaImb,poker-8-9_vs_5,poker-8-9_vs_6,poker-8_vs_6,poker-9_vs_7,segment0,shuttle-2_vs_5,shuttle-6_vs_2-3,vehicle0,vehicle1,vehicle2,vehicle3,vowel0,winequality-red-3_vs_5,winequality-red-4,winequality-red-8_vs_6,winequality-red-8_vs_6-7,winequality-white-3-9_vs_5,winequality-white-3_vs_7,winequality-white-9_vs_4,wisconsinImb,yeast-0-2-5-6_vs_3-7-8-9,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-3-5-9_vs_7-8,yeast-0-5-6-7-9_vs_4,yeast-1-2-8-9_vs_7,yeast-1-4-5-8_vs_7,yeast-2_vs_4,yeast-2_vs_8,yeast1,yeast3,yeast4,yeast5,yeast6,zoo-3
AE,0.5528143274853801,0.6617250673854447,0.5171957671957672,0.9093567251461987,1.0,0.6924004825090471,0.7761674718196457,0.5365748709122203,0.5851235851235852,0.9791666666666666,0.9191176470588235,0.9818181818181818,0.7307692307692307,0.6720430107526882,0.6161290322580645,0.8409090909090908,0.6590909090909092,0.7635135135135136,0.77,0.6554054054054055,0.6127659574468085,0.7430555555555555,0.668918918918919,0.79,0.54375,0.5425287356321838,0.515625,0.5311004784688995,0.5831381733021077,0.80859375,0.9235772357723577,0.8295454545454546,0.7432432432432432,0.5483870967741935,0.5588235294117647,0.625,0.7192118226600985,0.6087962962962963,0.8076923076923077,0.6916666666666667,0.8292682926829268,0.8918918918918919,0.530718954248366,0.905,1.0,0.7016511867905056,0.6777210884353742,0.6684149184149184,1.0,0.9652777777777778,0.9642857142857143,0.7658730158730159,0.9047619047619048,0.5411985018726592,0.9052735794215956,0.6422222222222224,0.5239024390243903,0.5075342465753424,0.571917808219178,0.5212765957446809,0.7278849097030915,0.9489296636085627,0.875,0.6034615384615385,0.5584415584415584,0.5631313131313131,0.5746200329609963,0.9614197530864198,0.7773722627737226,0.520447190350103,0.7109375,0.6856287425149701,0.5458904109589041,0.9289772727272727,0.696969696969697,0.9173689138576779,0.7513812154696133,0.7508287292817679,0.6119565217391304,0.5942583732057416,0.5298913043478262,0.6854636591478697,0.9298418972332015,0.6182795698924731,0.5654138653146699,0.5828741965105602,0.742212333121424,0.8429783950617283,0.8305418719211822,0.9
AveLMDD,0.6661184210526315,0.5745732255166218,0.5418871252204585,0.8947368421052632,0.8928571428571428,0.5499597909127463,0.7733494363929145,0.5021514629948365,0.572072072072072,0.7552083333333333,0.6985294117647058,0.9363636363636363,0.6826923076923076,0.7096774193548385,0.6612903225806452,0.9045454545454547,0.53125,0.722972972972973,0.94,0.6756756756756757,0.8,0.75,0.8243243243243243,0.8700000000000001,0.75625,0.9563218390804598,0.7025240384615383,0.5614035087719298,0.8548009367681499,0.62109375,0.8999999999999999,0.8664772727272728,0.5337837837837838,0.6612903225806452,0.7058823529411764,0.8,0.6379310344827587,0.6018518518518519,0.6923076923076923,0.5416666666666667,0.7134146341463414,0.9594594594594594,0.6274509803921569,0.7949999999999999,0.697459584295612,0.6087719298245614,0.5705357142857143,0.6241258741258742,0.7575057736720554,0.8202160493827161,0.9017857142857142,0.75,0.6150793650793651,0.6441947565543071,0.5191923412294724,0.7242592592592594,0.6795121951219513,0.6328767123287672,0.5590753424657535,0.9255319148936171,0.6553030303030303,0.5061162079510704,1.0,0.7358653846153846,0.6578282828282829,0.5362554112554112,0.6208569859000184,0.5175925925925926,0.6058394160583942,0.5903206825536923,0.625,0.6669161676646707,0.5397260273972603,0.5795454545454546,0.7121212121212122,0.8323970037453186,0.7980662983425415,0.7461325966850829,0.6032608695652174,0.5569377990430622,0.6132246376811594,0.5839598997493735,0.7816205533596838,0.5900537634408602,0.5918108674087954,0.6176538108356291,0.7393515575333758,0.8634259259259259,0.8783251231527094,0.575
AvgBag,0.8256578947368421,0.5121293800539084,0.904320987654321,0.9298245614035088,0.9319727891156463,0.6363088057901085,0.9017713365539453,0.7504302925989672,0.5763455763455764,0.5833333333333333,0.9375,0.9909090909090909,0.7884615384615384,0.6639784946236559,0.6870967741935483,0.8363636363636364,0.8181818181818182,0.7567567567567568,0.8,0.9527027027027027,0.6340425531914894,0.7986111111111112,0.8378378378378379,0.835,0.65,0.5080459770114942,0.59375,0.5007974481658692,0.6955503512880562,0.78515625,0.6037940379403794,0.7698863636363636,0.5270270270270271,0.6290322580645161,0.8823529411764706,0.7250000000000001,0.6330049261083744,0.5324074074074074,0.5128205128205129,0.8,0.8170731707317073,0.5495495495495495,0.6300653594771242,0.615,0.8175519630484989,0.5213622291021671,0.7011054421768707,0.7354312354312355,0.9045419553502695,0.7021604938271605,1.0,0.7023809523809524,0.7619047619047619,0.700374531835206,0.7461034006685076,0.5748148148148149,0.8624390243902439,0.7260273972602741,0.6660958904109588,0.8936170212765958,0.6851851851851852,0.8318042813455657,1.0,0.6861538461538461,0.6349206349206349,0.5066738816738817,0.5162058231093207,0.8209876543209877,0.8175182481751825,0.5357458075904677,0.68359375,0.6272455089820359,0.7890410958904109,0.9786931818181818,0.5454545454545454,0.6816479400749063,0.5693370165745857,0.6019337016574586,0.6271739130434782,0.6267942583732058,0.5615942028985508,0.7280701754385964,0.8409090909090908,0.6666666666666666,0.5475586906205224,0.5106749311294766,0.6258741258741259,0.5142746913580247,0.5083743842364532,0.7000000000000001
AvgKNN,0.8669590643274854,0.683288409703504,0.906084656084656,0.9795321637426901,0.6904761904761905,0.6771210293526337,0.8848631239935588,0.5,0.5,0.6041666666666666,0.5330882352941176,0.9454545454545454,0.8125,0.7365591397849462,0.7387096774193549,0.790909090909091,0.7102272727272727,0.8243243243243243,0.865,0.831081081081081,0.7574468085106383,0.7083333333333334,0.7635135135135135,0.9500000000000001,0.7812499999999999,0.7816091954022988,0.6081730769230769,0.5964912280701755,0.531615925058548,0.8125,0.7886178861788617,0.8352272727272727,0.5878378378378379,0.5403225806451613,0.8529411764705882,0.875,0.7635467980295566,0.5046296296296297,0.6025641025641026,0.875,0.9634146341463415,0.7927927927927927,0.6745098039215687,0.865,0.7829099307159354,0.7947368421052632,0.7944727891156462,0.6089743589743589,0.7736720554272518,0.7091049382716049,0.9821428571428572,0.6984126984126984,0.8492063492063493,0.8052434456928839,0.5145236884173812,0.6633333333333333,0.7614634146341464,0.8315068493150685,0.7448630136986302,0.8829787234042553,0.7838230792776247,0.9495412844036697,0.9886363636363636,0.6938461538461538,0.6145382395382395,0.612012987012987,0.6581212232191906,0.5401234567901234,0.5766423357664233,0.5116210650191233,0.6875,0.6437125748502994,0.7554794520547945,0.9786931818181819,0.8484848484848485,0.9698033707865168,0.6530386740331492,0.6961325966850829,0.6184782608695653,0.5062200956937799,0.6222826086956521,0.6954887218045113,0.8715415019762845,0.6317204301075269,0.510415518571586,0.54178145087236,0.6938970120788303,0.6558641975308642,0.5950738916256157,0.75
BRM,0.8369883040935673,0.601078167115903,0.8412698412698413,0.9912280701754386,0.6428571428571428,0.6580217129071171,0.8913043478260869,0.5178571428571428,0.5195195195195195,0.9791666666666666,0.7316176470588235,0.9454545454545454,0.8125,0.7311827956989247,0.7064516129032258,0.7727272727272727,0.7159090909090909,0.8378378378378378,0.865,0.8040540540540541,0.7446808510638298,0.7083333333333334,0.7702702702702703,0.965,0.8,0.7448275862068965,0.6057692307692308,0.5629984051036683,0.5199063231850117,0.828125,0.808130081300813,0.7784090909090909,0.6283783783783784,0.5403225806451613,0.7352941176470589,0.75,0.7512315270935961,0.5625,0.5576923076923077,0.875,0.9634146341463414,0.7387387387387387,0.6509803921568628,0.8,0.85594688221709,0.8179566563467493,0.8518707482993197,0.5833333333333334,0.802540415704388,0.6882716049382716,1.0,0.7857142857142857,0.9246031746031746,0.7359550561797753,0.6778992878942014,0.7225925925925927,0.6980487804878048,0.7061643835616438,0.8313356164383562,0.9787234042553192,0.7877640036730946,0.9842507645259939,0.9772727272727273,0.5457692307692308,0.591991341991342,0.7119408369408369,0.5943966306537264,0.5694444444444444,0.8467153284671534,0.5716387172697852,0.763671875,0.6946107784431137,0.8013698630136986,0.9801136363636364,0.5151515151515151,0.9698033707865168,0.6461325966850828,0.6977900552486188,0.5880434782608696,0.5224880382775119,0.578804347826087,0.6942355889724311,0.866600790513834,0.6290322580645161,0.5257356993276755,0.5367309458218549,0.6919898283534647,0.6674382716049383,0.6187192118226601,0.6
CBLOF,0.7174707602339181,0.5094339622641509,0.5842151675485009,0.8070175438596492,0.9727891156462586,0.6429433051869723,0.8027375201288245,0.6449010327022375,0.5286440286440286,0.6770833333333333,0.5441176470588236,0.9727272727272727,0.7548076923076923,0.7553763440860215,0.6064516129032258,0.7454545454545455,0.6590909090909091,0.75,0.675,0.6081081081081081,0.7319148936170212,0.5486111111111112,0.6756756756756757,0.85,0.6,0.650574712643678,0.5649038461538461,0.5374800637958532,0.5035128805620609,0.765625,0.8761517615176151,0.8210227272727273,0.5067567567567568,0.6048387096774194,0.7352941176470589,0.675,0.8201970443349753,0.5393518518518519,0.5256410256410257,0.8916666666666667,0.9634146341463415,0.8018018018018017,0.615686274509804,0.745,0.9945150115473442,0.8636738906088751,0.8445578231292518,0.5938228438228439,0.9996150885296382,0.5655864197530864,0.9821428571428572,0.6984126984126984,0.7619047619047619,0.9176029962546817,0.6674901903793053,0.6075925925925926,0.7146341463414635,0.5910958904109589,0.6087328767123288,0.648936170212766,0.6135598408325681,0.981039755351682,1.0,0.5373076923076923,0.5887445887445888,0.5781024531024531,0.5819446987731185,0.8385802469135804,0.635036496350365,0.5739923506913798,0.71875,0.561377245508982,0.5705479452054795,0.984375,0.7878787878787878,0.9573970037453183,0.5864640883977901,0.6303867403314917,0.6869565217391305,0.5942583732057416,0.5280797101449275,0.6403508771929824,0.8695652173913044,0.6344086021505376,0.5057312906425657,0.5065426997245179,0.6185632549268913,0.533179012345679,0.5586206896551723,0.7999999999999999
COF,0.8135964912280702,0.5700808625336927,0.8853615520282186,0.8391812865497075,0.9829931972789115,0.6443506232408526,0.8558776167471819,0.6628657487091223,0.5255255255255256,0.6562499999999999,0.8823529411764706,0.9090909090909091,0.8894230769230769,0.8252688172043011,0.8064516129032259,0.9272727272727272,0.8181818181818181,0.8783783783783783,0.8300000000000001,0.8648648648648648,0.7446808510638299,0.7152777777777779,0.8918918918918919,0.9,0.8625,0.6689655172413793,0.5528846153846154,0.6921850079744817,0.6861826697892272,0.890625,0.6373983739837399,0.8693181818181818,0.5743243243243243,0.5403225806451613,0.675,0.675,0.6379310344827587,0.5717592592592593,0.6346153846153846,0.925,0.8780487804878049,0.8513513513513513,0.6326797385620915,0.8049999999999999,0.610998845265589,0.5164086687306502,0.6198979591836735,0.5541958041958042,0.9811393379522709,0.621141975308642,0.9642857142857143,0.7857142857142856,0.7817460317460316,0.8295880149812733,0.8192395727365208,0.5972222222222222,0.8200000000000001,0.7671232876712328,0.6652397260273972,0.9361702127659575,0.6196434037343129,0.9790519877675841,1.0,0.5207692307692308,0.5431096681096681,0.5687229437229437,0.5160227064640175,0.7438271604938272,0.5182481751824818,0.5328037658134746,0.658203125,0.6541916167664671,0.5589041095890411,0.859375,0.6060606060606061,0.5723314606741572,0.5099447513812154,0.5875690607734807,0.717391304347826,0.5397129186602871,0.5471014492753623,0.6979949874686717,0.8715415019762845,0.6586021505376344,0.5724677614901357,0.5541781450872361,0.6624284806102988,0.6358024691358024,0.5635467980295567,0.55
COPOD,0.5579312865497076,0.6401617250673854,0.6128747795414462,0.8684210526315789,0.9965986394557823,0.6461600321672698,0.78743961352657,0.5684165232358003,0.5094710094710094,0.9479166666666666,0.863970588235294,0.8636363636363635,0.5048076923076923,0.5860215053763441,0.532258064516129,0.8909090909090909,0.6534090909090909,0.7702702702702702,0.5900000000000001,0.5945945945945945,0.5446808510638297,0.7152777777777778,0.6486486486486487,0.7200000000000001,0.59375,0.8620689655172414,0.7632211538461539,0.5901116427432217,0.7096018735362998,0.7734375,0.9468834688346883,0.8494318181818181,0.8040540540540541,0.5725806451612903,0.7352941176470589,0.5249999999999999,0.768472906403941,0.5115740740740741,0.7692307692307693,0.575,0.8780487804878049,0.9144144144144144,0.6130718954248365,0.825,1.0,0.7779153766769866,0.7585034013605442,0.7663170163170163,1.0,0.9760802469135802,1.0,0.8214285714285714,0.9484126984126984,0.8352059925093633,0.8696410405464322,0.6749999999999999,0.5253658536585366,0.571917808219178,0.5633561643835616,0.851063829787234,0.8609198041016223,0.9909785932721713,0.7159090909090908,0.6759615384615385,0.6329365079365079,0.5762987012987013,0.6084966123420619,0.9540123456790124,0.9051094890510949,0.5481023830538393,0.705078125,0.688622754491018,0.5150684931506849,0.9105113636363636,0.5757575757575758,0.9969569288389513,0.7930939226519338,0.804696132596685,0.5434782608695652,0.5770334928229666,0.5688405797101449,0.8007518796992481,0.8883399209486166,0.5456989247311828,0.5563760608398545,0.5168732782369148,0.7654164017800382,0.9139660493827161,0.9039408866995075,1.0
EE,0.8907163742690059,0.6900269541778975,0.9215167548500882,0.97953216374269,0.9931972789115646,0.6801367108966627,0.9025764895330113,0.524526678141136,0.5703395703395704,1.0,1.0,0.9818181818181818,0.7836538461538461,0.7661290322580645,0.8612903225806452,0.8590909090909091,0.7840909090909091,0.8175675675675675,0.925,0.75,0.7659574468085106,0.8402777777777778,0.8851351351351351,0.95,0.825,0.6735632183908046,0.5240384615384616,0.7192982456140351,0.5269320843091334,0.890625,0.8970189701897019,0.9460227272727273,0.6081081081081081,0.596774193548387,0.8823529411764706,0.55,0.7438423645320197,0.5717592592592593,0.6025641025641026,0.775,0.8902439024390244,0.9324324324324325,0.7294117647058824,0.635,0.7492782909930715,0.8118679050567595,0.8456632653061225,0.6363636363636364,1.0,0.7214506172839505,0.9821428571428572,0.7182539682539683,0.8333333333333334,0.9307116104868913,0.9234758755994769,0.6909259259259259,0.5321951219512195,0.6801369863013698,0.5856164383561644,0.9148936170212767,0.672176308539945,0.9908256880733946,0.9318181818181819,0.6163461538461539,0.6239177489177489,0.6940836940836941,0.6037355795641823,0.8904320987654321,0.8394160583941606,0.5157399235069138,0.73046875,0.7095808383233533,0.6041095890410959,0.9630681818181819,0.5757575757575757,0.9887640449438202,0.568232044198895,0.6607734806629835,0.5967391304347827,0.5263157894736842,0.509963768115942,0.7355889724310777,0.8705533596837944,0.6693548387096775,0.5317425327895955,0.5089531680440772,0.6970756516211062,0.7044753086419753,0.7610837438423645,0.7
FA,0.7417763157894737,0.6302785265049416,0.818342151675485,0.9649122807017544,1.0,0.6089666264575794,0.9170692431561996,0.5830464716006885,0.6174636174636174,1.0,0.8529411764705882,0.9818181818181818,0.8125,0.75,0.7193548387096774,0.8863636363636364,0.7102272727272727,0.8445945945945946,0.89,0.722972972972973,0.7702127659574468,0.8194444444444444,0.7770270270270271,0.85,0.6375,0.7494252873563219,0.6141826923076923,0.6012759170653907,0.6580796252927401,0.91796875,0.8878048780487805,0.84375,0.7770270270270271,0.532258064516129,0.6470588235294117,0.625,0.7044334975369457,0.5648148148148149,0.7884615384615384,0.7250000000000001,0.8414634146341464,0.8648648648648649,0.5006535947712418,0.65,1.0,0.7998968008255933,0.8248299319727891,0.6952214452214451,1.0,0.8047839506172839,0.9107142857142858,0.7222222222222222,0.8888888888888888,0.6329588014981273,0.9077986484522599,0.7031481481481481,0.5414634146341464,0.6705479452054794,0.6232876712328768,0.9148936170212767,0.730448423630242,0.9917431192660551,0.9431818181818181,0.5125,0.599025974025974,0.6518759018759019,0.5356161875114448,0.9092592592592592,0.864963503649635,0.5001471020888496,0.736328125,0.7425149700598802,0.6753424657534246,0.9815340909090908,0.5454545454545454,0.9620786516853933,0.7367403314917127,0.717403314917127,0.567391304347826,0.5215311004784688,0.542572463768116,0.7167919799498748,0.8764822134387351,0.6182795698924731,0.5714206987765899,0.5786271808999082,0.7253655435473617,0.787037037037037,0.7931034482758621,0.6
