model,abalone-17_vs_7-8-9-10,abalone-19_vs_10-11-12-13,abalone-20_vs_8-9-10,abalone-21_vs_8,abalone-3_vs_11,abalone19,abalone9-18,car-good,car-vgood,cleveland-0_vs_4,dermatology-6,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-2-6-7_vs_3-5,ecoli-0-3-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,ecoli-0-3-4_vs_5,ecoli-0-4-6_vs_5,ecoli-0-6-7_vs_3-5,ecoli-0-6-7_vs_5,ecoli-0_vs_1,ecoli1,ecoli2,ecoli3,ecoli4,flare-F,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,glass-0-1-5_vs_2,glass-0-4_vs_5,glass-0-6_vs_5,glass0,glass1,glass2,glass4,glass5,glass6,habermanImb,iris0,kr-vs-k-one_vs_fifteen,kr-vs-k-three_vs_eleven,kr-vs-k-zero-one_vs_draw,kr-vs-k-zero_vs_eight,kr-vs-k-zero_vs_fifteen,led7digit-0-2-4-5-6-7-8-9_vs_1,lymphography-normal-fibrosis,new-thyroid1,new-thyroid2,page-blocks-1-3_vs_4,page-blocks0,pimaImb,poker-8-9_vs_5,poker-8-9_vs_6,poker-8_vs_6,poker-9_vs_7,segment0,shuttle-2_vs_5,shuttle-6_vs_2-3,vehicle0,vehicle1,vehicle2,vehicle3,vowel0,winequality-red-3_vs_5,winequality-red-4,winequality-red-8_vs_6,winequality-red-8_vs_6-7,winequality-white-3-9_vs_5,winequality-white-3_vs_7,winequality-white-9_vs_4,wisconsinImb,yeast-0-2-5-6_vs_3-7-8-9,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-3-5-9_vs_7-8,yeast-0-5-6-7-9_vs_4,yeast-1-2-8-9_vs_7,yeast-1-4-5-8_vs_7,yeast-2_vs_4,yeast-2_vs_8,yeast1,yeast3,yeast4,yeast5,yeast6,zoo-3
AE,0.5506213450292398,0.6635220125786163,0.5198412698412699,0.9093567251461987,1.0,0.6919983916365099,0.7737520128824477,0.5393717728055077,0.6174636174636174,0.9791666666666666,0.9375,0.9818181818181818,0.7355769230769231,0.7016129032258065,0.6129032258064516,0.859090909090909,0.6704545454545454,0.777027027027027,0.6799999999999999,0.6554054054054055,0.6680851063829788,0.7430555555555555,0.6621621621621622,0.785,0.56875,0.542528735632184,0.5324519230769231,0.5406698564593302,0.6252927400468384,0.78515625,0.9235772357723577,0.8238636363636364,0.7432432432432432,0.5241935483870968,0.5588235294117647,0.625,0.7142857142857143,0.611111111111111,0.8076923076923077,0.6583333333333333,0.8292682926829268,0.8963963963963963,0.526797385620915,0.91,1.0,0.7003095975232199,0.6762755102040816,0.6678321678321678,1.0,0.9652777777777778,0.9642857142857143,0.757936507936508,0.8968253968253967,0.552434456928839,0.9051282517076006,0.6496296296296297,0.524390243902439,0.5089041095890411,0.5787671232876712,0.5319148936170213,0.728611876339149,0.9489296636085627,0.8977272727272727,0.5946153846153845,0.5580808080808081,0.5618686868686869,0.5760849661234205,0.9623456790123457,0.7773722627737226,0.5219182112385996,0.701171875,0.687125748502994,0.5445205479452054,0.9261363636363636,0.696969696969697,0.9000468164794008,0.7558011049723757,0.7538674033149171,0.6065217391304347,0.5444976076555024,0.526268115942029,0.6829573934837092,0.9179841897233201,0.6182795698924731,0.5657996252617657,0.5873507805325987,0.7453909726636999,0.8464506172839507,0.8310344827586207,0.9
AveLMDD,0.6189692982456141,0.637915543575921,0.537037037037037,0.8450292397660819,0.9863945578231292,0.6956172094893446,0.714170692431562,0.5023666092943201,0.5083160083160083,1.0,0.7426470588235294,0.9818181818181818,0.701923076923077,0.7446236559139786,0.6838709677419355,0.9090909090909091,0.6647727272727273,0.7837837837837838,0.885,0.7195945945945945,0.6893617021276597,0.8819444444444444,0.7972972972972973,0.7100000000000001,0.65625,0.5287356321839081,0.6802884615384615,0.5263157894736842,0.8173302107728336,0.5234375,0.9387533875338754,0.7997159090909092,0.5540540540540542,0.5806451612903225,0.5588235294117647,0.55,0.6896551724137931,0.5833333333333333,0.625,0.55,0.6707317073170732,0.8648648648648648,0.534640522875817,0.9000000000000001,0.9972575057736721,0.5415376676986584,0.5011479591836734,0.5614801864801864,0.997690531177829,0.720679012345679,1.0,0.6150793650793651,0.8948412698412699,0.6011235955056179,0.8632193721842755,0.703888888888889,0.5790243902439024,0.5787671232876712,0.6720890410958904,0.5,0.6148989898989898,0.924006116207951,0.6647727272727273,0.6808653846153847,0.6174242424242423,0.5599747474747475,0.6079472624061526,0.9395061728395061,0.8394160583941606,0.5010297146219476,0.7333984375,0.7529940119760479,0.5380136986301369,0.9005681818181819,0.5454545454545454,0.858380149812734,0.810635359116022,0.7002762430939227,0.6478260869565218,0.5377990430622009,0.5153985507246377,0.5977443609022556,0.8695652173913043,0.6209677419354838,0.5483853190785848,0.5790863177226814,0.7169421487603306,0.849537037037037,0.8502463054187193,0.825
AvgBag,0.8463084795321637,0.5548068283917341,0.8791887125220459,0.9619883040935673,0.9591836734693878,0.6029352633695215,0.8856682769726247,0.504302925989673,0.565026565026565,0.9583333333333334,0.9227941176470588,1.0,0.7596153846153846,0.7096774193548386,0.7096774193548387,0.9545454545454546,0.8863636363636364,0.804054054054054,0.915,0.8175675675675677,0.7489361702127659,0.6944444444444444,0.9527027027027027,0.8700000000000001,0.6437499999999999,0.5333333333333333,0.592548076923077,0.5853269537480064,0.5550351288056206,0.81640625,0.5940379403794038,0.8579545454545454,0.5202702702702703,0.5564516129032258,0.7352941176470588,0.9,0.7364532019704434,0.5324074074074074,0.6346153846153846,0.8916666666666667,0.8780487804878049,0.6261261261261262,0.5581699346405229,0.5800000000000001,0.7456697459584296,0.7173374613003096,0.8829081632653061,0.7202797202797202,0.8914549653579676,0.6867283950617283,0.9464285714285715,0.6904761904761904,0.873015873015873,0.9101123595505618,0.7702368841738121,0.6468518518518518,0.6292682926829268,0.7595890410958904,0.735445205479452,0.9361702127659574,0.6542699724517906,0.6730886850152905,0.9772727272727273,0.5582692307692307,0.5422077922077921,0.6058802308802308,0.5002746749679545,0.8302469135802469,0.8832116788321167,0.5657546337157988,0.71875,0.7125748502994012,0.6712328767123288,0.9786931818181818,0.6060606060606061,0.6821161048689138,0.6604972375690609,0.5781767955801105,0.6326086956521739,0.5894736842105264,0.5280797101449275,0.655388471177945,0.8537549407114624,0.6827956989247311,0.546125867959881,0.5825298438934803,0.5966306420851876,0.5690586419753086,0.5443349753694582,0.7999999999999999
AvgKNN,0.8411915204678362,0.5920934411500448,0.8655202821869489,0.9941520467836257,0.6326530612244898,0.6433453960595095,0.8880837359098228,0.5304432013769363,0.5674520674520674,0.9791666666666666,0.8272058823529411,0.9818181818181818,0.8317307692307692,0.7634408602150538,0.7645161290322581,0.8,0.7159090909090908,0.831081081081081,0.8999999999999999,0.8378378378378378,0.7617021276595746,0.7083333333333333,0.7837837837837838,0.94,0.7937500000000001,0.7563218390804598,0.6021634615384616,0.5598086124401913,0.5292740046838407,0.85546875,0.7829268292682927,0.7840909090909091,0.6216216216216216,0.5564516129032258,0.7647058823529411,0.775,0.7487684729064039,0.5462962962962963,0.5641025641025641,0.85,0.9268292682926829,0.7837837837837838,0.6875816993464052,0.805,0.7687644341801385,0.8158926728586171,0.8537414965986394,0.5361305361305361,0.7294072363356428,0.720679012345679,0.9285714285714286,0.742063492063492,0.9087301587301587,0.6704119850187266,0.7503451533207383,0.7266666666666667,0.695609756097561,0.8171232876712329,0.8356164383561644,0.9148936170212766,0.7940006121824303,0.982874617737003,0.9772727272727273,0.5757692307692308,0.5725108225108226,0.7058080808080809,0.5885368980040286,0.5435185185185185,0.8978102189781022,0.6060606060606061,0.771484375,0.7230538922155689,0.7691780821917809,0.9886363636363635,0.6363636363636364,0.9681647940074907,0.6674033149171271,0.7055248618784531,0.5717391304347826,0.5167464114832536,0.5942028985507246,0.7055137844611529,0.8824110671936759,0.6129032258064516,0.5157059407031853,0.5025252525252526,0.6780038143674507,0.7110339506172839,0.5935960591133005,0.7
BRM,0.8364400584795322,0.6154537286612758,0.8403880070546736,0.9883040935672515,0.6462585034013605,0.649577804583836,0.8792270531400966,0.5677710843373495,0.5105105105105106,0.9791666666666666,0.7279411764705882,0.9454545454545454,0.7932692307692308,0.7204301075268817,0.7290322580645161,0.7818181818181817,0.7159090909090909,0.8378378378378378,0.87,0.7972972972972973,0.7361702127659575,0.7152777777777778,0.7702702702702703,0.965,0.81875,0.7540229885057471,0.6153846153846154,0.5645933014354068,0.5339578454332553,0.8125,0.8113821138211381,0.7897727272727273,0.6351351351351351,0.5483870967741935,0.7058823529411764,0.8,0.7635467980295567,0.5625,0.5448717948717948,0.8583333333333334,0.9634146341463414,0.7432432432432433,0.6640522875816994,0.79,0.8778868360277137,0.8220846233230135,0.8350340136054422,0.5483682983682983,0.7421093148575828,0.7021604938271604,1.0,0.8015873015873016,0.9285714285714286,0.7059925093632959,0.6740844354018312,0.7172222222222222,0.7029268292682926,0.7157534246575342,0.845890410958904,0.9787234042553192,0.7896005509641872,0.986697247706422,0.9772727272727273,0.5519230769230768,0.5838744588744589,0.7097763347763347,0.5823109320637245,0.5898148148148148,0.8540145985401459,0.5681082671373934,0.74609375,0.7095808383233533,0.802054794520548,0.9815340909090909,0.6666666666666666,0.9705056179775281,0.6406077348066299,0.7074585635359116,0.592391304347826,0.5090909090909091,0.598731884057971,0.6892230576441103,0.8547430830039526,0.6263440860215054,0.5226496197509093,0.5345500459136823,0.700254291163382,0.662037037037037,0.5896551724137931,0.6
CBLOF,0.8009868421052632,0.5130278526504941,0.7208994708994708,0.935672514619883,1.0,0.5130679533574588,0.8687600644122383,0.5030120481927711,0.6130746130746131,0.9791666666666666,0.7463235294117647,0.9818181818181818,0.6971153846153846,0.6586021505376344,0.6612903225806452,0.7136363636363636,0.6761363636363636,0.722972972972973,0.5800000000000001,0.6824324324324323,0.5361702127659574,0.5,0.5405405405405406,0.77,0.6125,0.6367816091954023,0.5889423076923077,0.5566188197767146,0.5995316159250585,0.80859375,0.851490514905149,0.8181818181818181,0.6959459459459459,0.5080645161290323,0.7647058823529411,0.825,0.7807881773399015,0.525462962962963,0.5833333333333334,0.8416666666666666,0.9390243902439024,0.8468468468468469,0.5856209150326798,0.585,1.0,0.6761609907120743,0.8485544217687074,0.6923076923076923,0.9996150885296382,0.6381172839506173,0.9642857142857143,0.7698412698412699,0.8373015873015874,0.7640449438202247,0.8441269437581748,0.7155555555555555,0.5858536585365853,0.7630136986301369,0.7354452054794521,0.8085106382978724,0.6075910621365167,0.991131498470948,0.9772727272727273,0.5857692307692308,0.5598845598845599,0.5853174603174602,0.5704083501190258,0.6577160493827159,0.9197080291970803,0.5613415710503089,0.708984375,0.6961077844311377,0.5835616438356164,0.9815340909090909,0.696969696969697,0.9503745318352059,0.6113259668508287,0.6958563535911602,0.6619565217391304,0.5368421052631578,0.5253623188405797,0.6741854636591478,0.8784584980237155,0.674731182795699,0.5192328887909181,0.5440771349862259,0.6433566433566433,0.5489969135802469,0.6551724137931034,0.85
COF,0.8002558479532165,0.5049415992812218,0.951058201058201,0.8976608187134503,1.0,0.5934861278648975,0.8816425120772946,0.6667383820998278,0.541002541002541,0.96875,0.9926470588235294,0.9818181818181818,0.9182692307692307,0.881720430107527,0.8419354838709678,0.9363636363636365,0.8181818181818181,0.8716216216216217,0.89,0.8918918918918919,0.8808510638297873,0.7638888888888888,0.9189189189189189,0.93,0.85,0.6160919540229886,0.5084134615384615,0.696969696969697,0.639344262295082,0.91796875,0.6471544715447154,0.8125,0.6081081081081081,0.532258064516129,0.7749999999999999,0.7749999999999999,0.6674876847290641,0.5231481481481481,0.6346153846153846,0.8333333333333333,0.8658536585365854,0.8108108108108109,0.611764705882353,0.815,0.7922921478060045,0.801031991744066,0.7883503401360545,0.664918414918415,0.9980754426481909,0.6057098765432098,1.0,0.8373015873015873,0.9563492063492064,0.8913857677902621,0.7068467519255922,0.644074074074074,0.6248780487804878,0.8897260273972603,0.6635273972602739,1.0,0.7794612794612794,0.981651376146789,0.9772727272727273,0.5584615384615383,0.5669191919191919,0.6388888888888888,0.5231642556308368,0.6839506172839506,0.8978102189781021,0.5563401000294204,0.78125,0.6676646706586826,0.5424657534246575,0.9928977272727272,0.696969696969697,0.579119850187266,0.651657458563536,0.6441988950276243,0.7108695652173913,0.538755980861244,0.5181159420289855,0.681704260651629,0.867588932806324,0.6747311827956989,0.6065248539623057,0.5044765840220385,0.6795931341385887,0.5486111111111112,0.5788177339901478,0.7
COPOD,0.5579312865497076,0.6401617250673854,0.6128747795414462,0.8684210526315789,0.9965986394557823,0.6461600321672698,0.78743961352657,0.5684165232358003,0.5094710094710094,0.9479166666666666,0.863970588235294,0.8636363636363635,0.5048076923076923,0.5860215053763441,0.532258064516129,0.8909090909090909,0.6534090909090909,0.7702702702702702,0.5900000000000001,0.5945945945945945,0.5446808510638297,0.7152777777777778,0.6486486486486487,0.7200000000000001,0.59375,0.8620689655172414,0.7632211538461539,0.5901116427432217,0.7096018735362998,0.7734375,0.9468834688346883,0.8494318181818181,0.8040540540540541,0.5725806451612903,0.7352941176470589,0.5249999999999999,0.768472906403941,0.5115740740740741,0.7692307692307693,0.575,0.8780487804878049,0.9144144144144144,0.6130718954248365,0.825,1.0,0.7779153766769866,0.7585034013605442,0.7663170163170163,1.0,0.9760802469135802,1.0,0.8214285714285714,0.9484126984126984,0.8352059925093633,0.8696410405464322,0.6749999999999999,0.5253658536585366,0.571917808219178,0.5633561643835616,0.851063829787234,0.8609198041016223,0.9909785932721713,0.7159090909090908,0.6759615384615385,0.6329365079365079,0.5762987012987013,0.6084966123420619,0.9540123456790124,0.9051094890510949,0.5481023830538393,0.705078125,0.688622754491018,0.5150684931506849,0.9105113636363636,0.5757575757575758,0.9969569288389513,0.7930939226519338,0.804696132596685,0.5434782608695652,0.5770334928229666,0.5688405797101449,0.8007518796992481,0.8883399209486166,0.5456989247311828,0.5563760608398545,0.5168732782369148,0.7654164017800382,0.9139660493827161,0.9039408866995075,1.0
EE,0.8932748538011697,0.7070979335130279,0.9259259259259259,0.9824561403508771,0.9897959183673469,0.6735022114997989,0.9025764895330113,0.6153184165232358,0.6176946176946176,0.9895833333333334,0.9595588235294118,0.9727272727272727,0.7836538461538461,0.7446236559139785,0.896774193548387,0.8590909090909091,0.7897727272727273,0.8175675675675675,0.9249999999999999,0.8040540540540541,0.7914893617021277,0.8958333333333333,0.8783783783783784,0.94,0.8125,0.6735632183908047,0.5336538461538461,0.8245614035087719,0.5339578454332553,0.875,0.767479674796748,0.9517045454545454,0.6081081081081081,0.5887096774193549,0.8823529411764706,0.6000000000000001,0.7389162561576355,0.5740740740740741,0.6217948717948718,0.775,0.853658536585366,0.9324324324324325,0.7294117647058824,0.635,0.7738163972286374,0.7526315789473684,0.8977891156462585,0.6824009324009324,0.8891454965357968,0.6442901234567902,1.0,0.7182539682539683,0.8333333333333334,0.9307116104868913,0.9234304606888534,0.6909259259259259,0.535609756097561,0.6780821917808219,0.5804794520547946,0.9148936170212767,0.5847490052035507,0.9918960244648318,0.9772727272727273,0.6284615384615384,0.659992784992785,0.6967893217893218,0.5945797472990295,0.8839506172839506,0.8394160583941606,0.5157399235069138,0.740234375,0.7125748502994012,0.6061643835616438,0.9616477272727273,0.5151515151515151,0.9918071161048689,0.5712707182320442,0.6582872928176795,0.5978260869565217,0.509090909090909,0.5045289855072463,0.7230576441102757,0.8656126482213439,0.6693548387096775,0.511076821338036,0.5048209366391184,0.6865861411315957,0.6612654320987654,0.758128078817734,0.65
FA,0.7523757309941521,0.5813117699910153,0.8368606701940036,0.9824561403508771,1.0,0.5778045838359469,0.9106280193236715,0.5830464716006885,0.6174636174636174,1.0,0.8786764705882353,0.9818181818181818,0.8365384615384616,0.75,0.7129032258064516,0.9045454545454545,0.7102272727272727,0.8513513513513513,0.8999999999999999,0.777027027027027,0.774468085106383,0.8402777777777778,0.7972972972972974,0.875,0.65625,0.7333333333333333,0.6021634615384616,0.6044657097288676,0.6463700234192038,0.921875,0.8845528455284553,0.84375,0.7702702702702703,0.5483870967741935,0.6470588235294117,0.65,0.7167487684729064,0.5648148148148149,0.7692307692307692,0.7,0.8414634146341464,0.8783783783783784,0.5058823529411764,0.675,1.0,0.7875128998968008,0.8327380952380953,0.6520979020979021,1.0,0.7322530864197531,0.9285714285714286,0.7142857142857143,0.8888888888888888,0.602996254681648,0.918616480162767,0.7025925925925927,0.5639024390243902,0.6534246575342466,0.5976027397260274,0.8936170212765957,0.7625497398224672,0.9915902140672782,0.9431818181818181,0.6465384615384615,0.5275974025974026,0.6251803751803752,0.5028383080021974,0.8802469135802469,0.8248175182481752,0.5148573109738158,0.7265625,0.7290419161676647,0.6280821917808219,0.9715909090909091,0.5454545454545454,0.9651217228464419,0.7323204419889503,0.7027624309392265,0.5641304347826086,0.5215311004784688,0.5480072463768115,0.7218045112781954,0.8745059288537549,0.6344086021505376,0.5635952827069326,0.5857438016528925,0.7269548633184997,0.7619598765432098,0.7847290640394089,0.7
