model,abalone-17_vs_7-8-9-10,abalone-19_vs_10-11-12-13,abalone-20_vs_8-9-10,abalone-21_vs_8,abalone-3_vs_11,abalone19,abalone9-18,car-good,car-vgood,cleveland-0_vs_4,dermatology-6,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-2-6-7_vs_3-5,ecoli-0-3-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,ecoli-0-3-4_vs_5,ecoli-0-4-6_vs_5,ecoli-0-6-7_vs_3-5,ecoli-0-6-7_vs_5,ecoli-0_vs_1,ecoli1,ecoli2,ecoli3,ecoli4,flare-F,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,glass-0-1-5_vs_2,glass-0-4_vs_5,glass-0-6_vs_5,glass0,glass1,glass2,glass4,glass5,glass6,habermanImb,iris0,kr-vs-k-one_vs_fifteen,kr-vs-k-three_vs_eleven,kr-vs-k-zero-one_vs_draw,kr-vs-k-zero_vs_eight,kr-vs-k-zero_vs_fifteen,led7digit-0-2-4-5-6-7-8-9_vs_1,lymphography-normal-fibrosis,new-thyroid1,new-thyroid2,page-blocks-1-3_vs_4,page-blocks0,pimaImb,poker-8-9_vs_5,poker-8-9_vs_6,poker-8_vs_6,poker-9_vs_7,segment0,shuttle-2_vs_5,shuttle-6_vs_2-3,vehicle0,vehicle1,vehicle2,vehicle3,vowel0,winequality-red-3_vs_5,winequality-red-4,winequality-red-8_vs_6,winequality-red-8_vs_6-7,winequality-white-3-9_vs_5,winequality-white-3_vs_7,winequality-white-9_vs_4,wisconsinImb,yeast-0-2-5-6_vs_3-7-8-9,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-3-5-9_vs_7-8,yeast-0-5-6-7-9_vs_4,yeast-1-2-8-9_vs_7,yeast-1-4-5-8_vs_7,yeast-2_vs_4,yeast-2_vs_8,yeast1,yeast3,yeast4,yeast5,yeast6,zoo-3
AE,0.06048138286808246,0.04395435022325487,0.03231389594999445,0.2579365079365079,1.0,0.012648596916009038,0.23014009497749335,0.04223385090336161,0.039668513438495936,0.8055555555555556,0.6684782608695652,0.5833333333333333,0.19973009446693657,0.4656024531024531,0.21350659256837745,0.5445021645021645,0.3514880952380952,0.22162698412698412,0.25476190476190474,0.35205314009661837,0.4748538011695907,0.2188568010936432,0.15540824915824916,0.563030303030303,0.11636904761904762,0.69111042222884,0.30283660685525715,0.18379472098391383,0.14923201518237836,0.17211029711029713,0.3893965846709749,0.5731725345361709,0.261566091954023,0.13912680456798104,0.14583333333333331,0.11437908496732026,0.5037781270866117,0.492378043118298,0.342816091954023,0.13741765480895915,0.5625,0.4362433862433863,0.28968098804729914,0.8399786324786326,1.0,0.046814925414653825,0.056276980631488734,0.03620375840619082,1.0,0.6885302197802198,0.75,0.3316585329784088,0.7799861973775017,0.31736923470794437,0.5212240789075555,0.49481852104332846,0.02151376336712972,0.027102965923562712,0.013941553493792301,0.05572755417956656,0.2369668945562311,0.3515953510806452,0.35,0.372879607810244,0.2784775752670614,0.27215338979655546,0.2843116326944272,0.6522961536078024,0.055714285714285716,0.046255490313324946,0.10214660911171208,0.07956255700820919,0.031095156439530324,0.47957839262187085,0.03571428571428571,0.9039080712885704,0.30356856837657287,0.22454823720992562,0.2345044005946415,0.12155025768184685,0.05427584072598818,0.09356890170809798,0.5439760345980441,0.23253317720530836,0.3379477286299488,0.1322175585715974,0.08894544979379385,0.09542828388385685,0.07661876275677729,0.05263157894736842
AveLMDD,0.0677885153338172,0.043217810007236596,0.045155650652486674,0.15707070707070708,1.0,0.016158387041272468,0.4189141560889201,0.04063446187723645,0.03757225433526012,0.8666666666666667,0.05637254901960784,0.05654761904761904,0.11834795321637427,0.2996137849079026,0.08404566816331523,0.6619047619047619,0.10436507936507936,0.17378048780487804,0.18051450465243568,0.1794871794871795,0.12667031478007085,0.10213903743315508,0.1185908417870997,0.6311111111111112,0.19423160173160173,0.9632243675644389,0.4806781458145845,0.28293608328859,0.45947148090005224,0.058823529411764705,0.36805518544506405,0.5313025945161252,0.13567073170731708,0.11428571428571428,0.10526315789473684,0.09545454545454546,0.5219867851446798,0.40518034408041986,0.09302325581395349,0.08112618432385874,0.5232558139534884,0.24198966408268732,0.28582022222168973,0.8441991341991342,0.04713927768734593,0.046683751785261414,0.03614457831325301,0.02054794520547945,0.01366742596810934,0.22626304250345172,0.25,0.421594684385382,0.7626592676426562,0.08596491228070176,0.5349127251041198,0.5846486068705021,0.03324807674265879,0.12270667131470574,0.04206907290847103,0.065,0.19660926541743579,0.43530414124641625,0.07173913043478261,0.39729299510040866,0.3860812213529751,0.2654264757885618,0.32041476877114416,0.5467870441577786,0.0223457597558317,0.05253965962871186,0.11489898989898989,0.11540677674578603,0.031166385403673537,0.2839285714285714,0.09090909090909091,0.8799461704120717,0.2754704022146791,0.45850170242047494,0.1665360188126671,0.15641805175072304,0.22769423558897242,0.05383144464820301,0.6886690329872149,0.1329588510000881,0.33445114624538064,0.1376808983645694,0.1334872033097487,0.26564150619990345,0.09657909515921687,0.047619047619047616
AvgBag,0.08898539220233395,0.024038762761173636,0.21128015066694308,0.5194805194805194,0.6388888888888888,0.010254574440789655,0.3698632171839263,0.05246825108851638,0.04320711238349771,0.5,0.35132575757575757,1.0,0.24246031746031746,0.5685858585858585,0.30821377331420374,0.5605103668261563,0.4086996336996337,0.22929292929292927,0.23945970695970697,0.425,0.4813576117923944,0.20552780552780553,0.2433191808191808,0.6215384615384616,0.16873751248751248,0.6366724379628829,0.34165936374840344,0.20097969367960664,0.14065919846199348,0.12032624633431085,0.06163373633222405,0.4925903477286877,0.12772147147147145,0.17093515037593984,0.26666666666666666,0.3666666666666667,0.46189545337292137,0.4524233613749334,0.13221153846153846,0.28792270531400965,0.5769230769230769,0.3572555348871138,0.36304465786032714,0.36969696969696964,0.04924117430001418,0.1271887743175395,0.31762227420454386,0.03663423174329937,0.026428083167941967,0.3648399014778325,1.0,0.25998315594180255,0.5732923938806291,0.36795474910394266,0.4672386509963182,0.520326564985643,0.03821714520944224,0.24026667645744987,0.05265449592780101,0.24285714285714285,0.20918625177649824,0.11530960772733627,0.5833333333333333,0.2616242123450897,0.26289291198992837,0.42439063735275395,0.24782594432010074,0.5099062029552738,0.06294326241134751,0.04992589574829827,0.11580643186236242,0.07591653519645407,0.05658390335101485,0.5892857142857143,0.06666666666666667,0.6049872084343457,0.28490969872042715,0.15515374745640303,0.2426091229999586,0.16000870468202394,0.06728662942548219,0.14298039923039924,0.35200616109707017,0.5263888888888888,0.295475512202728,0.11272210510531674,0.05591901366455315,0.0359320528769512,0.023969438185725785,0.5
AvgKNN,0.11463426675440755,0.030741246299964307,0.09763241946329239,0.7,0.1286195286195286,0.011401904934123214,0.5352979634533033,0.04046242774566474,0.03757225433526012,1.0,0.12779234654234656,0.41666666666666663,0.29128787878787876,0.43205140349215365,0.1981302969528369,0.4506752305665349,0.36073232323232324,0.2853174603174603,0.3727272727272727,0.45416666666666666,0.34652777777777777,0.19416006787330317,0.21428571428571427,0.8314285714285714,0.22889610389610388,0.8621610315988502,0.29987588891840805,0.22085386859842113,0.12466835880195182,0.179135101010101,0.15348035218966227,0.46541061879297174,0.16238626964433417,0.14616883116883117,0.29166666666666663,0.26785714285714285,0.5746066869799121,0.38907869538053697,0.09678082334332334,0.26666666666666666,0.6428571428571428,0.30311890838206623,0.41267439290998625,0.7716691927447076,0.13138643778651027,0.08908680388909708,0.21150669929175292,0.18930598007428173,0.1188276271025219,0.19858881754949168,1.0,0.34344790547798065,0.7399118738404453,0.44160674716230264,0.3418610182084195,0.5643646014715318,0.038586032363871724,0.1529811304366708,0.2522027600849257,0.6666666666666666,0.3481716566351646,0.33631822941420464,0.5833333333333333,0.2632321057359587,0.2883360058585238,0.5919185634019711,0.27682389813581865,0.18565897071602824,0.06512605042016806,0.05045422699913531,0.14779456654456655,0.10543515651874785,0.06549673112767596,0.7026315789473684,0.1,0.9045371468668819,0.21729253723399147,0.19269220034592663,0.1905605600996763,0.13191430783715646,0.04212337566914192,0.15001184023710235,0.4194746308980759,0.18018018018018017,0.2913794851254641,0.12382058842888669,0.07985729375512288,0.05233005349463979,0.03517247079833305,0.14285714285714285
BRM,0.11392138113718638,0.030165983633704298,0.09454302516645517,0.7,0.17730496453900707,0.011463211453019935,0.5551528397597925,0.041176470588235294,0.03939393939393939,0.8055555555555556,0.11961322990734756,0.325,0.30597826086956526,0.4748511904761904,0.16245767872366337,0.42501842842400117,0.36143483709273183,0.2922619047619048,0.3896503496503497,0.43472222222222223,0.3481951871657754,0.18925518925518925,0.21500721500721498,0.8833333333333333,0.2656687675070028,0.8580912475273773,0.29557521988684166,0.21232946328162172,0.11055364174655369,0.16035353535353536,0.1556803233599332,0.46225098602807585,0.1596390168970814,0.12452214452214452,0.10795454545454546,0.25,0.6044948107448107,0.3950827198294892,0.1256439393939394,0.2619047619047619,0.7,0.3355263157894737,0.4226513967413659,0.7465567765567767,0.1515122905984341,0.09402931147371694,0.1968600425292868,0.19290874784435702,0.26980530531058966,0.262874531835206,1.0,0.3403940037553483,0.7535173160173161,0.44338300953753107,0.19154737464151683,0.570748672594589,0.03969915257140118,0.08172724354209354,0.28257575757575754,0.75,0.34049890584783227,0.34020508330105853,0.5833333333333333,0.26095334890715854,0.28896390023275953,0.5655566573544311,0.283033230682041,0.15211348965364005,0.06904761904761905,0.04779587779294499,0.1546235380116959,0.03129495426774701,0.07575769348835426,0.7125,0.047619047619047616,0.90710615209525,0.19856190448808608,0.1966069541978455,0.11313318563439678,0.21048213302465046,0.048570411070411074,0.21654125324486928,0.4052433209219121,0.04303589433353499,0.294323915524505,0.12330483595234615,0.07907187418614083,0.05351677373349421,0.03210008432395954,0.07692307692307693
CBLOF,0.0635478947524082,0.03833471653264971,0.031226553005419027,0.2611111111111111,1.0,0.008233181924780559,0.25923726407597375,0.10279348199709812,0.09029267552825376,0.8333333333333333,0.10550213675213675,0.5833333333333333,0.32916666666666666,0.47470170791066313,0.20057995495495495,0.3872932330827068,0.3422710622710623,0.2267399267399267,0.22720538720538722,0.37648809523809523,0.49488721804511276,0.1202020202020202,0.10182072829131653,0.7633333333333332,0.1095959595959596,0.7014681114976127,0.2910647274180951,0.1854033474569189,0.13648846169854573,0.163015873015873,0.3035403083625738,0.4991753415666459,0.09982769423558896,0.15571300044984254,0.1625,0.22619047619047616,0.5815126997103998,0.3930207858457079,0.11616471083382848,0.2272727272727273,0.375,0.37157097288676233,0.38689585659603076,0.5441885964912281,0.5893776631416202,0.05729027844749987,0.03420555299193845,0.04375218089302661,0.26353276353276356,0.16653439153439153,0.75,0.4040251415251415,0.61570572284858,0.300741217846481,0.5604578604399851,0.5520489810367903,0.03943043006935771,0.21815129782759207,0.608386075949367,0.15555555555555556,0.15909138462600042,0.6026132119514472,0.5833333333333333,0.21434436714535945,0.2629155881980822,0.39865505560211767,0.2655279841628263,0.29208509569912994,0.04904306220095694,0.050043080593481545,0.12156209150326797,0.06859185394431797,0.07514085564142588,0.5125,0.07692307692307693,0.8371549152921955,0.23589989758398938,0.21926958030223914,0.2843279456779724,0.17779930646845174,0.04058686503464047,0.2402634780087183,0.32507828871465233,0.5302823315118397,0.2749243532075202,0.1234025809171082,0.0553068506189012,0.03822280399115313,0.039607198024315816,0.5
COF,0.06882722475409436,0.025789282747655316,0.16271932576280404,0.3121693121693122,1.0,0.011560348814458195,0.41057797106486243,0.06332416035468237,0.05334275652103136,0.7555555555555555,0.7470238095238095,0.5833333333333333,0.43214285714285716,0.5584693084693084,0.27824016563147,0.6499999999999999,0.40453296703296704,0.315018315018315,0.3172438672438672,0.38541666666666663,0.4666666666666667,0.189437134502924,0.39861111111111114,0.6499999999999999,0.2839646464646465,0.8209797871202504,0.24449209180246811,0.25775301199349937,0.15488184416755846,0.28858543417366944,0.04603426485050505,0.48504045716612565,0.13809491978609625,0.12811621814717788,0.1625,0.1625,0.4084796208386435,0.36774178492989196,0.14906270200387847,0.2791666666666667,0.31666666666666665,0.2827755577755578,0.3653446638937975,0.5618517103811221,0.0718179297880316,0.08255730957081553,0.15913005555801557,0.031153630073567376,0.4310851010808958,0.14230532786885247,1.0,0.6637677798392084,0.9200680272108843,0.2182858967341726,0.36273643824249613,0.5187246815173722,0.018891062523205937,0.3429021608643458,0.0389671698329794,1.0,0.3314092772505818,0.3145895517451245,0.41666666666666663,0.28747258124288966,0.31677276030570517,0.4875273183008913,0.27400959451115825,0.19765765559635995,0.08585858585858586,0.03913665875231366,0.13876678876678877,0.08113694195626969,0.05072340307842221,0.75,0.14285714285714285,0.3633518032484607,0.25921481008758496,0.1578709151324362,0.3230337329148874,0.11873200250374912,0.04433807141430981,0.20061927351525166,0.4635903312373901,0.5255221653878943,0.31933114702008203,0.121543476211052,0.053895586895017,0.04468833866020529,0.03074811852490221,0.08333333333333333
COPOD,0.05735292455167954,0.04538538781454275,0.04652604478818608,0.1611111111111111,0.9166666666666665,0.011002845050176567,0.3269267824958791,0.04713851838374225,0.038281211402598686,0.5333333333333333,0.2300825593395253,0.16666666666666666,0.09147102897102899,0.3262571809741621,0.08555777555777558,0.6268115942028984,0.16392857142857142,0.22636895268474216,0.16608444187391555,0.16655701754385965,0.15570738440303658,0.20423669467787114,0.15557359307359309,0.5176253176253176,0.09257129133380523,0.9151742595684893,0.4694928582017398,0.1979985396243893,0.30257418756976473,0.1448995083863505,0.46375688581570934,0.5689654178888629,0.27499999999999997,0.11746933621933622,0.2777777777777778,0.13247863247863248,0.6083213379395644,0.3646322775394364,0.23648018648018648,0.1013755980861244,0.5833333333333334,0.514021164021164,0.3683088261743192,0.5917957042957043,1.0,0.06776509785641488,0.07145643428137502,0.04693484072442034,1.0,0.778125,1.0,0.5612244897959183,0.8428571428571427,0.39494949494949494,0.386838546420186,0.5318740123682408,0.017221273822133024,0.01778021166895445,0.014742530335928851,0.20192307692307693,0.45259023033717527,0.6043080993080994,0.14347826086956522,0.34966134206393024,0.32884209578223683,0.2936839922788617,0.3296102777265811,0.6037370025175878,0.10049019607843138,0.04273362981936408,0.13127880184331797,0.1112618576234954,0.02956257967523049,0.5498345740281224,0.05,0.9948525152814748,0.3920257518459404,0.335543713984762,0.14086282293258137,0.1603065479047641,0.054467343604593474,0.39276048026048027,0.5306647593547446,0.08944099378881988,0.31417261353517834,0.12322416678893455,0.2075360906395608,0.19876473161233182,0.13537023636399972,0.047619047619047616
EE,0.20274398130122318,0.03229702598210901,0.13694234006734007,0.6984126984126984,0.6388888888888888,0.014924202356327132,0.4916753000086333,0.09045502610713947,0.062826907751827,0.9166666666666665,0.95,0.5833333333333333,0.1730861244019139,0.3780808080808081,0.3203463203463203,0.4688888888888889,0.19593253968253968,0.2574786324786325,0.7112087912087912,0.29305555555555557,0.3545454545454545,0.28544372294372294,0.3404761904761905,0.7333333333333334,0.23722943722943718,0.8022757924855448,0.25080745533486537,0.37444822011079554,0.1069602465635652,0.24226190476190473,0.3357507135008445,0.7597323131414041,0.15714285714285714,0.11502616747181964,0.45,0.10416666666666666,0.507904083111655,0.45173689491937297,0.18666982922201136,0.17727272727272728,0.2,0.6194444444444445,0.5510302362469545,0.5135897508923825,0.3695371556132781,0.05784748382257139,0.26897674815766504,0.11419944789510006,1.0,0.3327651515151515,1.0,0.2646600266901019,0.37882395382395384,0.45882352941176474,0.6067193133655735,0.5036554444492299,0.04087748376820714,0.03598808935711077,0.07224841536056165,0.5666666666666667,0.14862838345375887,0.47192057125880654,0.17142857142857143,0.32740573877415907,0.33131257602683506,0.5873834770145214,0.2792346345346457,0.42045578523118854,0.062037037037037036,0.03919459677890056,0.09193017127799737,0.0706278477619941,0.03750353668168129,0.5434782608695652,0.06666666666666667,0.9879657817658226,0.1428588574336525,0.2716285517493785,0.10286980896124623,0.12840089925236522,0.035130770359537614,0.10145192498133676,0.43012878399975174,0.5266106442577031,0.3574728594996638,0.1111460292178678,0.06627444166772266,0.05530941214508853,0.04747118971608767,0.0625
FA,0.10900574573933494,0.0350498561272594,0.05056214808855188,0.5277777777777778,1.0,0.009090830556203222,0.6459184334184335,0.07188583836936496,0.05578472644802522,0.8055555555555556,0.44674922600619194,0.5833333333333333,0.3162878787878788,0.4801844980416409,0.2510294117647059,0.73,0.39757799671592775,0.3363095238095238,0.5466666666666666,0.4149305555555556,0.6254385964912281,0.35,0.2806818181818182,0.6734782608695652,0.16033549783549783,0.8322530785169834,0.30687417492999364,0.23127006770852018,0.15554071908751713,0.35,0.35798850574712643,0.5667122093592681,0.336566091954023,0.12364760133302333,0.12222222222222222,0.11666666666666667,0.4777936666466141,0.4443541301294197,0.37037037037037035,0.1388888888888889,0.5666666666666667,0.3805194805194806,0.306027729096556,0.4682084500466853,1.0,0.064355865572717,0.16089849321688407,0.03466136781496444,1.0,0.40049660852713176,0.41666666666666663,0.2940730837789661,0.7819349962207105,0.16377562198743853,0.6025941548064372,0.5394530422574211,0.06645779375418077,0.21156218784805442,0.2592045716025301,0.14835164835164835,0.303444514813709,0.4532041109904887,0.41666666666666663,0.3943364940626414,0.2727149764805561,0.3547661903508829,0.24733593279353702,0.5209093579026164,0.05772357723577236,0.057436548299051156,0.034155109080519934,0.034964871427434124,0.017097310375505863,0.5178571428571428,0.07692307692307693,0.9033786998412568,0.35471553936065825,0.21002716184367567,0.10743880649583988,0.1286357152369172,0.03215953284753567,0.1005395433027012,0.3918240960159194,0.04790927895981087,0.34056220953012284,0.1348855088107812,0.07532156475612331,0.07054521361500238,0.06536350364415053,0.125
