model,abalone-17_vs_7-8-9-10,abalone-19_vs_10-11-12-13,abalone-20_vs_8-9-10,abalone-21_vs_8,abalone-3_vs_11,abalone19,abalone9-18,car-good,car-vgood,cleveland-0_vs_4,dermatology-6,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-2-6-7_vs_3-5,ecoli-0-3-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,ecoli-0-3-4_vs_5,ecoli-0-4-6_vs_5,ecoli-0-6-7_vs_3-5,ecoli-0-6-7_vs_5,ecoli-0_vs_1,ecoli1,ecoli2,ecoli3,ecoli4,flare-F,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,glass-0-1-5_vs_2,glass-0-4_vs_5,glass-0-6_vs_5,glass0,glass1,glass2,glass4,glass5,glass6,habermanImb,iris0,kr-vs-k-one_vs_fifteen,kr-vs-k-three_vs_eleven,kr-vs-k-zero-one_vs_draw,kr-vs-k-zero_vs_eight,kr-vs-k-zero_vs_fifteen,led7digit-0-2-4-5-6-7-8-9_vs_1,lymphography-normal-fibrosis,new-thyroid1,new-thyroid2,page-blocks-1-3_vs_4,page-blocks0,pimaImb,poker-8-9_vs_5,poker-8-9_vs_6,poker-8_vs_6,poker-9_vs_7,segment0,shuttle-2_vs_5,shuttle-6_vs_2-3,vehicle0,vehicle1,vehicle2,vehicle3,vowel0,winequality-red-3_vs_5,winequality-red-4,winequality-red-8_vs_6,winequality-red-8_vs_6-7,winequality-white-3-9_vs_5,winequality-white-3_vs_7,winequality-white-9_vs_4,wisconsinImb,yeast-0-2-5-6_vs_3-7-8-9,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-3-5-9_vs_7-8,yeast-0-5-6-7-9_vs_4,yeast-1-2-8-9_vs_7,yeast-1-4-5-8_vs_7,yeast-2_vs_4,yeast-2_vs_8,yeast1,yeast3,yeast4,yeast5,yeast6,zoo-3
AE,0.06067289027486458,0.04367095438739143,0.03232334520487544,0.2579365079365079,1.0,0.012648596916009038,0.234917149488919,0.04424491440591758,0.045950821389393416,0.8055555555555556,0.6684782608695652,0.5833333333333333,0.18977130325814534,0.45833333333333326,0.21855145109149687,0.519047619047619,0.35321969696969696,0.21795051353874884,0.28444444444444444,0.36090250329380763,0.47437070938215103,0.2401315789473684,0.17557870370370368,0.5594551282051282,0.12285272199065302,0.7060844947847538,0.26139665620672525,0.1896942055909223,0.14520818691147083,0.1841269841269841,0.3893965846709749,0.571399745921277,0.261566091954023,0.1441435269760078,0.14583333333333331,0.10818713450292397,0.5118313483751272,0.48251435696784717,0.38703703703703707,0.1393939393939394,0.5625,0.4362433862433863,0.29662116343236866,0.7314285714285714,1.0,0.04700842570309759,0.05628365048719883,0.03606287646354683,1.0,0.7123397435897436,0.75,0.32680670354266106,0.7799861973775017,0.31672533142916903,0.5212201954240817,0.48891538457636236,0.02149261612948764,0.027158033466643867,0.016432709869246713,0.05625,0.2366299377580157,0.3515953510806452,0.3333333333333333,0.4119136746444701,0.2791938987651772,0.27291025813668945,0.2876737751170525,0.660386318612312,0.055714285714285716,0.04552576643604859,0.10143325143325142,0.07956255700820919,0.03188097928853839,0.47957839262187085,0.041666666666666664,0.9064841129477035,0.2993393670802838,0.2308890254886921,0.23402683019165388,0.1270469666236095,0.05429073978708695,0.0929523028673038,0.5474725380945477,0.23275862068965514,0.33641920383389734,0.1330146680501606,0.08763861420218222,0.09333109761473178,0.07679779865009889,0.05263157894736842
AveLMDD,0.07811055764998656,0.03993756243756244,0.03958333333333333,0.14718196457326893,0.0297029702970297,0.008029000607167883,0.3871830550401979,0.04063446187723645,0.03757225433526012,0.6952380952380952,0.05555555555555555,0.30952380952380953,0.12919429708222813,0.4553376906318083,0.14362306433201957,0.5138888888888888,0.11515567765567764,0.26535326086956523,0.6722222222222223,0.18541666666666667,0.2563570691434468,0.2907268170426065,0.2641233766233766,0.6555555555555556,0.2100885225885226,0.980420778411266,0.5246651834507493,0.18433839619903644,0.4109850294632903,0.09767108424397428,0.30417448049027,0.8101479915433404,0.10442073170731708,0.5571428571428572,0.2361111111111111,0.26666666666666666,0.32558139534883723,0.3889255366726297,0.09302325581395349,0.08354866494401378,0.5232558139534884,0.6916666666666667,0.2881460580631805,0.5573354341736694,0.035634743875278395,0.028960817717206135,0.03614457831325301,0.02054794520547945,0.01366742596810934,0.22626304250345172,0.3333333333333333,0.16279069767441862,0.21236824769433466,0.26432748538011697,0.18437783827922552,0.5475973182110367,0.07401119630035292,0.028036852824086866,0.013758323540932238,0.375,0.14285714285714285,0.015060240963855422,1.0,0.368072209486863,0.3426903459592134,0.32013724932600857,0.36599513517578175,0.09253306920066776,0.014388489208633094,0.042671502966594235,0.05438228438228439,0.0534992455859765,0.01709170917091709,0.08218954248366013,0.029411764705882353,0.8799461704120716,0.3364633576405644,0.34513957029765774,0.16838217953695292,0.1420087676861742,0.06920827710301394,0.06619541896525061,0.36719503198138786,0.07259450171821305,0.33815933231118,0.1431750455548427,0.11791540195583056,0.12915903600328674,0.11017240194580095,0.07692307692307693
AvgBag,0.1013033948954764,0.024220405646646084,0.5819444444444444,0.1962962962962963,0.2216931216931217,0.011657945100901844,0.4944374144374144,0.13622484951933508,0.061120171652448124,0.13373015873015873,0.5159090909090909,0.8333333333333333,0.20438051650866296,0.45703336774765346,0.15376381151130072,0.4388235294117647,0.41805555555555557,0.20773809523809522,0.34547152194211017,0.7875,0.4091521486643438,0.25,0.28525641025641024,0.64,0.14661172161172162,0.6331294998922466,0.3325157192690513,0.18344612803045812,0.16988676539367784,0.15578703703703703,0.05580348173316744,0.5043165168165168,0.12823639774859288,0.1830504533829342,0.41666666666666663,0.25757575757575757,0.515129143085879,0.3863617113730544,0.1255842453260374,0.23120300751879697,0.3125,0.3364094686675332,0.3729409041711832,0.5769547859547859,0.2207807957099843,0.03754335058956535,0.07348618973152349,0.053981774227842956,0.07988768268465007,0.5511494252873563,1.0,0.2592250935461904,0.31082833133253307,0.43874371946661106,0.41972524765376784,0.4234150044376658,0.2400117633662239,0.08567985045257773,0.030596493297084207,0.5833333333333334,0.23617239708787127,0.04657359498184569,1.0,0.4309466795646033,0.35285381617267575,0.29099950088980386,0.25944699183553277,0.4594406088068157,0.05827702702702703,0.040764431973674006,0.10165639445300462,0.060723039215686274,0.043943262534215724,0.5952380952380952,0.0625,0.5101676451425273,0.3020488144243722,0.17183246985049974,0.3391707653439312,0.20417701139395775,0.04931735887473592,0.21581430393764808,0.38625686734714804,0.5266714082503556,0.29460716870235687,0.1173779863975678,0.05938002394583959,0.03603827093623119,0.026815544716628517,0.14285714285714285
AvgKNN,0.15381811700396772,0.03631508894053137,0.14268483709273183,0.4666666666666667,0.058234323432343235,0.012198679515423779,0.6706698912442792,0.04046242774566474,0.03757225433526012,0.14370370370370372,0.07403719552337062,0.325,0.26845238095238094,0.31309868712969485,0.18207338638373122,0.4583931419457736,0.36073232323232324,0.2853174603174603,0.38,0.44734848484848483,0.3443218954248366,0.190892094017094,0.21428571428571427,0.8314285714285714,0.22889610389610388,0.8731891481825256,0.3015425658124981,0.22989810532716712,0.12395049236298251,0.164572192513369,0.23441477998782473,0.5507231404958677,0.10460290511224296,0.14377587991718427,0.3666666666666667,0.3666666666666667,0.6094113745123062,0.3579649798605391,0.17968477882270983,0.2777777777777778,0.7,0.3855100373482726,0.4790262609467356,0.8222999222999223,0.21346139250852364,0.08906494678553502,0.14918068611339055,0.04527994944497627,0.41427040247794966,0.19858881754949168,0.8333333333333333,0.2589244604724481,0.45399838256981107,0.3814814814814814,0.2220664274433412,0.4986858579687332,0.08731492725310006,0.45795722766611835,0.03590506527225141,0.5769230769230769,0.26727048914540047,0.16652365543918718,0.8333333333333333,0.34918945361758297,0.3027927943452585,0.29457888643928853,0.3227631350053599,0.17274529709534658,0.040958737864077666,0.03545890823766454,0.12550607287449392,0.0599274182607516,0.04090061353291248,0.5590659340659341,0.16666666666666666,0.9045371468668819,0.23168519540687868,0.19662948890513543,0.1981382695633993,0.16353246059208273,0.03525277656109488,0.17140146336208684,0.40970734783891705,0.1801892551892552,0.28007904383868143,0.12415669648258977,0.07234113237724879,0.053955722541346784,0.032044923890186844,0.16666666666666666
BRM,0.11558049255805222,0.0286270901235234,0.09620639187163561,0.7555555555555555,0.16936845660249916,0.011593816305613987,0.611607999843294,0.04947701624002202,0.03903903903903904,0.8055555555555556,0.1252222042663219,0.325,0.29128787878787876,0.39892459969969263,0.1648555431131019,0.41907349896480334,0.36270600744284953,0.3005952380952381,0.3732034632034632,0.42435897435897435,0.2913562091503268,0.18633121264700211,0.21953781512605042,0.8833333333333333,0.2407268170426065,0.8548356656934774,0.3075167529080284,0.21667077962249054,0.1090782353880542,0.178125,0.14656500848181564,0.46376151765718443,0.16797235023041474,0.12547859547859547,0.25,0.2361111111111111,0.5968076859828296,0.39774281835165676,0.12469687570494023,0.2785714285714286,0.7,0.32851573377889165,0.4194345327736004,0.7544605394605395,0.14634342957064228,0.09156007066066695,0.23977342887877384,0.021120275325712465,0.357248217652536,0.2489856429463171,1.0,0.3731982671611155,0.7535173160173161,0.44418552270697786,0.18994984467912304,0.5681823807533851,0.04342218038358012,0.06734098756544706,0.2818061568061568,0.75,0.328341995202885,0.3291707935167687,0.5833333333333333,0.25807661915919083,0.2920090932968703,0.5679819524236785,0.2826024639492048,0.15241084521815956,0.06512605042016806,0.048183679115553796,0.1596732026143791,0.030176198486063385,0.07640499285660576,0.7125,0.05555555555555555,0.9040684177581183,0.1928351044773623,0.19745400837781618,0.1000627916099631,0.2163515163491346,0.04462875380332484,0.15726528199932455,0.40732468820704126,0.04297922324238113,0.2986047714962925,0.12444537970996762,0.07260126410337402,0.052086908077284236,0.0330912249272116,0.07692307692307693
CBLOF,0.10737050045950465,0.04792811405150716,0.04145347160225456,0.08943730749004583,0.49999999999999994,0.011408098358318169,0.48164857313793485,0.1319190931733104,0.04157296255617091,0.15544871794871795,0.06302338752236424,0.5,0.2103174603174603,0.39465443560271146,0.1777727802765284,0.4086159844054581,0.3460702341137124,0.2226190476190476,0.21453703703703703,0.35595238095238096,0.3028011204481793,0.1407142857142857,0.2767948717948718,0.6925133689839572,0.1464714714714715,0.7386199630253442,0.29349627447468446,0.2015500444931096,0.11509478548271651,0.13620098039215686,0.37163139329805994,0.5408704115254918,0.1294334975369458,0.1630952380952381,0.2777777777777778,0.24358974358974358,0.7097852444613109,0.39553496988841813,0.11155462184873949,0.30357142857142855,0.7,0.3581529581529581,0.4236050314954393,0.5719991582491583,0.856767035961115,0.23330209693772425,0.5855450604768734,0.02931758666874855,0.976190476190476,0.3036731429463171,0.8333333333333333,0.2875950380152061,0.5769841269841269,0.42948343079922024,0.2395251023249558,0.4739831234015645,0.09304646482893963,0.04098697810492305,0.013524449234712344,0.5285714285714286,0.1733964558063581,0.2855152469313191,1.0,0.2460671975892365,0.3913004554436152,0.3516253219235461,0.2804670604467536,0.3462340513663703,0.019090593543908366,0.057167213619858506,0.09767918466821757,0.039601715686274505,0.018024545534924122,0.6325757575757576,0.125,0.8753353995953759,0.27198251100350157,0.24557245691132712,0.4026773679172998,0.1131731649539156,0.036347646750510915,0.1360637013870594,0.49561680149915444,0.5243769778481013,0.28014538713595494,0.11600422109580599,0.0603680966035167,0.0413733923016161,0.03424733657970666,0.2
COF,0.09942152063842952,0.0266702688044394,0.3048739272423483,0.11560150375939848,0.5666666666666667,0.013062581527239906,0.4884480472076222,0.06332416035468237,0.05334275652103136,0.19894179894179892,0.22852564102564102,0.225,0.46249999999999997,0.32886002886002885,0.2847826086956522,0.6714285714285715,0.29102564102564105,0.38257575757575757,0.3382828282828283,0.49374999999999997,0.2157609710550887,0.18680555555555556,0.3784090909090909,0.6305555555555555,0.3130952380952381,0.8333597586082373,0.2515831108976352,0.3463897321656839,0.16119227994227997,0.2728386809269162,0.06326708693382672,0.6388120651278547,0.09973359973359974,0.14610431128973328,0.18253968253968253,0.18253968253968253,0.41201476456252384,0.4039463634560762,0.1868253968253968,0.38333333333333336,0.34090909090909094,0.3723124098124098,0.438619455464701,0.6044599762982117,0.08944156575849144,0.031104476199063633,0.09984393787999075,0.028428901657863367,0.5482295482295482,0.14230532786885247,0.5833333333333333,0.34025974025974026,0.42518389469608986,0.40191952750092286,0.4814621759334362,0.4224914841082156,0.03705106438552958,0.0962548212683819,0.02376764529995672,0.3333333333333333,0.2611347626390035,0.26751247499901426,1.0,0.22615891330975502,0.28768651792768835,0.3046506074139835,0.22963700187594388,0.26637024443541757,0.022833419823559936,0.03833965386753113,0.0700516250189396,0.09899813606710157,0.018771510352392707,0.4192028985507246,0.07142857142857142,0.36157234400797944,0.28087505343514313,0.17690533612821419,0.350286000091359,0.11941286943384077,0.031876157126646945,0.17213569394049338,0.5191191246029956,0.5259937121041994,0.3089398552937799,0.13250167711491803,0.06275017027876514,0.05673170552021119,0.025219862869538576,0.1
COPOD,0.05735292455167954,0.04538538781454275,0.04652604478818608,0.1611111111111111,0.9166666666666665,0.011002845050176567,0.3269267824958791,0.04713851838374225,0.038281211402598686,0.5333333333333333,0.2300825593395253,0.16666666666666666,0.09147102897102899,0.3262571809741621,0.08555777555777558,0.6268115942028984,0.16392857142857142,0.22636895268474216,0.16608444187391555,0.16655701754385965,0.15570738440303658,0.20423669467787114,0.15557359307359309,0.5176253176253176,0.09257129133380523,0.9151742595684893,0.4694928582017398,0.1979985396243893,0.30257418756976473,0.1448995083863505,0.46375688581570934,0.5689654178888629,0.27499999999999997,0.11746933621933622,0.2777777777777778,0.13247863247863248,0.6083213379395644,0.3646322775394364,0.23648018648018648,0.1013755980861244,0.5833333333333334,0.514021164021164,0.3683088261743192,0.5917957042957043,1.0,0.06776509785641488,0.07145643428137502,0.04693484072442034,1.0,0.778125,1.0,0.5612244897959183,0.8428571428571427,0.39494949494949494,0.386838546420186,0.5318740123682408,0.017221273822133024,0.01778021166895445,0.014742530335928851,0.20192307692307693,0.45259023033717527,0.6043080993080994,0.14347826086956522,0.34966134206393024,0.32884209578223683,0.2936839922788617,0.3296102777265811,0.6037370025175878,0.10049019607843138,0.04273362981936408,0.13127880184331797,0.1112618576234954,0.02956257967523049,0.5498345740281224,0.05,0.9948525152814748,0.3920257518459404,0.335543713984762,0.14086282293258137,0.1603065479047641,0.054467343604593474,0.39276048026048027,0.5306647593547446,0.08944099378881988,0.31417261353517834,0.12322416678893455,0.2075360906395608,0.19876473161233182,0.13537023636399972,0.047619047619047616
EE,0.20205330551582765,0.03646881842493095,0.13558382740447958,0.6095238095238096,0.8055555555555556,0.014692433637625839,0.5145331892458329,0.06327432297230999,0.04542679477800459,1.0,1.0,0.5833333333333333,0.17402597402597403,0.2876907371588222,0.2784615384615384,0.4536953242835596,0.20005341880341881,0.2574786324786325,0.6858119658119658,0.2427083333333333,0.3519550342130987,0.29775641025641025,0.35158730158730156,0.75,0.2497294372294372,0.8048184309261983,0.2794431127915962,0.30634855427710533,0.1042953746508227,0.2497294372294372,0.361465497911281,0.7597323131414041,0.1505952380952381,0.11502616747181964,0.45,0.11858974358974358,0.5064055816131535,0.44571370420948153,0.16200952650443312,0.17727272727272728,0.35,0.6194444444444445,0.5510302362469545,0.5135897508923825,0.12608525967970846,0.12409974489088081,0.24757823052908046,0.04725108222143387,1.0,0.19673514142499104,0.8333333333333333,0.2646600266901019,0.37882395382395384,0.45882352941176474,0.6082876016972993,0.5028819964598659,0.039536140300517754,0.035962657242301674,0.07223840575133679,0.29166666666666663,0.1853602254484193,0.4456340829792842,0.39285714285714285,0.28060200942875513,0.3166557589590813,0.6046875091816168,0.2801894584035969,0.3918667291286463,0.062037037037037036,0.03910444453523131,0.09193017127799737,0.0706278477619941,0.03649265446706811,0.5434782608695652,0.06666666666666667,0.9682122588023708,0.12719995614705676,0.26838858952339384,0.10297169818706772,0.12981438808446663,0.0356195176838731,0.10605881480944869,0.43580991819628184,0.5268026565464896,0.36064137428344534,0.11039447649706144,0.06843277960674159,0.05612425281965512,0.05900463754082175,0.06666666666666667
FA,0.1652552133669535,0.0350498561272594,0.2217164723979808,0.5277777777777778,1.0,0.010121074180934863,0.6459184334184335,0.07188583836936496,0.05578472644802522,1.0,0.40822013235806337,0.5833333333333333,0.24138888888888888,0.47640614216701166,0.2576265203298995,0.6681818181818182,0.36364950838635046,0.3071428571428571,0.5380952380952382,0.3906746031746032,0.5618096357226792,0.2755952380952381,0.2791666666666667,0.6468115942028985,0.14096153846153847,0.8474929132160856,0.30687417492999364,0.23127006770852018,0.15554071908751713,0.35,0.38331093189964155,0.5685504446533858,0.337797619047619,0.12483807752349951,0.11666666666666667,0.10427807486631016,0.47462652100047686,0.42828249723212897,0.3384615384615385,0.1537037037037037,0.5666666666666667,0.3929584304584305,0.2982344804010785,0.4170146958304853,1.0,0.06910263030578354,0.4394434477684726,0.03816942123255291,1.0,0.40049660852713176,0.3666666666666667,0.29538334472544997,0.7976190476190474,0.10373312780243227,0.5248398623593062,0.5287664750628975,0.046005038252557744,0.21110474191903816,0.2590861185575925,0.29166666666666663,0.26498929887134787,0.4780139743297638,0.41666666666666663,0.24587545627640542,0.30788671662303857,0.5305582605259627,0.2523454994481936,0.478745904323554,0.07291666666666666,0.06024346145098831,0.13210678210678212,0.12321599616858238,0.04655383308268991,0.6013257575757576,0.0625,0.8975070026136331,0.35471553936065825,0.21002716184367567,0.10743880649583988,0.1286357152369172,0.03215953284753567,0.1005395433027012,0.3918240960159194,0.04790927895981087,0.34056220953012284,0.1348855088107812,0.07532156475612331,0.07054521361500238,0.06536350364415053,0.1111111111111111
