model,abalone-17_vs_7-8-9-10,abalone-19_vs_10-11-12-13,abalone-20_vs_8-9-10,abalone-21_vs_8,abalone-3_vs_11,abalone19,abalone9-18,car-good,car-vgood,cleveland-0_vs_4,dermatology-6,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-2-6-7_vs_3-5,ecoli-0-3-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,ecoli-0-3-4_vs_5,ecoli-0-4-6_vs_5,ecoli-0-6-7_vs_3-5,ecoli-0-6-7_vs_5,ecoli-0_vs_1,ecoli1,ecoli2,ecoli3,ecoli4,flare-F,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,glass-0-1-5_vs_2,glass-0-4_vs_5,glass-0-6_vs_5,glass0,glass1,glass2,glass4,glass5,glass6,habermanImb,iris0,kr-vs-k-one_vs_fifteen,kr-vs-k-three_vs_eleven,kr-vs-k-zero-one_vs_draw,kr-vs-k-zero_vs_eight,kr-vs-k-zero_vs_fifteen,led7digit-0-2-4-5-6-7-8-9_vs_1,lymphography-normal-fibrosis,new-thyroid1,new-thyroid2,page-blocks-1-3_vs_4,page-blocks0,pimaImb,poker-8-9_vs_5,poker-8-9_vs_6,poker-8_vs_6,poker-9_vs_7,segment0,shuttle-2_vs_5,shuttle-6_vs_2-3,vehicle0,vehicle1,vehicle2,vehicle3,vowel0,winequality-red-3_vs_5,winequality-red-4,winequality-red-8_vs_6,winequality-red-8_vs_6-7,winequality-white-3-9_vs_5,winequality-white-3_vs_7,winequality-white-9_vs_4,wisconsinImb,yeast-0-2-5-6_vs_3-7-8-9,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-3-5-9_vs_7-8,yeast-0-5-6-7-9_vs_4,yeast-1-2-8-9_vs_7,yeast-1-4-5-8_vs_7,yeast-2_vs_4,yeast-2_vs_8,yeast1,yeast3,yeast4,yeast5,yeast6,zoo-3
AE,0.060743078657675004,0.04366296083621311,0.03225117164923774,0.2579365079365079,1.0,0.012635954576397188,0.2305750303062131,0.043516549010932555,0.050208068573242684,0.8055555555555556,0.7026315789473684,0.5833333333333333,0.19185463659147867,0.4641931277803344,0.21072567783094098,0.5334415584415585,0.3583662714097497,0.22574786324786325,0.22448275862068967,0.36090250329380763,0.4927663122785075,0.2401315789473684,0.16650536963036963,0.5758241758241758,0.12471153846153846,0.7000762024966007,0.23898164199845923,0.1934294682689608,0.15781677613574163,0.15963901689708143,0.3893965846709749,0.5663492408707719,0.261566091954023,0.13912680456798104,0.14583333333333331,0.10818713450292397,0.5296468661906449,0.4778335630455671,0.4107142857142857,0.13240093240093243,0.5625,0.4445767195767196,0.30766132398056845,0.7382467532467533,1.0,0.046886045908458546,0.05616478297863935,0.03601916634902633,1.0,0.7123397435897436,0.75,0.32179417221434026,0.7848901098901098,0.31590839009895433,0.5211838518849027,0.49576938926199154,0.02151376336712972,0.02780747202562717,0.015873247015488395,0.055303030303030305,0.23715812357760374,0.3515953510806452,0.35,0.4061332662708268,0.2791079794264093,0.2720517377275766,0.28849404414592095,0.6637748524240651,0.055714285714285716,0.04567731029040868,0.09838721061547148,0.07960186518430981,0.03187512240501371,0.47696969696969693,0.041666666666666664,0.887983224856887,0.3024123133691248,0.2320145073609505,0.23326393927554834,0.11858180909321028,0.05405866079095649,0.08780655058183025,0.5032806515497199,0.23253317720530836,0.3370378450671767,0.13414221239572968,0.08926763596407598,0.09502638399346591,0.07671211600547034,0.05263157894736842
AveLMDD,0.06342075228616956,0.04929228646623414,0.054598185844147204,0.23666666666666666,0.7,0.022549534122697338,0.4072555709853399,0.040359964687884255,0.03779705574524381,1.0,0.35912698412698413,0.5833333333333333,0.2619386464263124,0.5247821350762527,0.20366996187891706,0.5232900432900432,0.3701923076923077,0.2279040404040404,0.5333333333333333,0.28007206208425717,0.35750915750915746,0.40208333333333335,0.23988095238095236,0.49444444444444446,0.16039002557544757,0.6639920922754821,0.45674288436236965,0.1786879297173415,0.2783189033189033,0.08430541019826734,0.39072460106942863,0.560919219375879,0.10984427141268076,0.11428571428571428,0.10526315789473684,0.10795454545454546,0.32558139534883723,0.4188945852782865,0.12225274725274725,0.07215265354800239,0.5232558139534884,0.5478589885566629,0.3468866514325897,0.8790204678362573,0.9552083333333333,0.0318151252487061,0.03766665893784879,0.023464280817221995,0.8819444444444444,0.5231831678876414,1.0,0.302547065337763,0.7824394874228762,0.23907496012759172,0.4807811994503252,0.578011085133746,0.04016722165377699,0.07311628565595096,0.04061554300689483,0.06066176470588235,0.14285714285714285,0.2883975235291025,0.2717391304347826,0.4184295154055484,0.3301755180339015,0.29915151291460174,0.3101770815722654,0.5531165458339372,0.06226053639846743,0.044979203802733216,0.10121610845295057,0.10350323472143709,0.017917911509460805,0.46253501400560226,0.05263157894736842,0.904417492192273,0.3384031184519204,0.21173329082481848,0.21822128851540615,0.11646882708020308,0.05964912280701755,0.053663570691434466,0.45499634911440134,0.15454712812960236,0.3130651254718941,0.13644758291961012,0.08534787640330758,0.09751834645142918,0.08787179910948384,0.047619047619047616
AvgBag,0.09570511014086916,0.024998384722128397,0.15909730403502365,0.5714285714285714,0.33134920634920634,0.0109569170071841,0.4600502124842895,0.048900596492804344,0.05831644870799482,0.7,0.3104166666666667,1.0,0.1589181286549708,0.46789248762932967,0.31407018907018913,0.6726190476190477,0.4797619047619047,0.25828754578754576,0.4746031746031746,0.44984917043740574,0.51256038647343,0.179532967032967,0.5666666666666667,0.666205533596838,0.1429173634336678,0.6661555079456426,0.32815590193715605,0.21097345207055185,0.1240636175418784,0.165922619047619,0.054452359663726094,0.556603779464742,0.14468954248366012,0.15373931623931625,0.24285714285714285,0.41666666666666663,0.580087211447782,0.3790601449981813,0.1429173634336678,0.3222222222222222,0.34090909090909094,0.3542087542087542,0.3245394266538664,0.4961937536148063,0.11435554278367775,0.05912345685985623,0.4925724590651227,0.0868471518946898,0.3731232813424594,0.3705134207240949,0.5,0.24761444695655221,0.5689102564102564,0.4080267558528428,0.37255617938585983,0.485699617660408,0.24309168019150612,0.24045607505772548,0.09228453077137289,0.39285714285714285,0.2028288929549602,0.02751016203624432,0.5833333333333333,0.32005959453010024,0.2914915324640637,0.3758377600870857,0.24192913832804777,0.43749670467681717,0.08514492753623187,0.04966300213565872,0.11779616646873284,0.09803288994772019,0.040660235656110925,0.5833333333333333,0.07142857142857142,0.512771259147344,0.2862934908193822,0.12511236447320667,0.22898707354695685,0.1842565856836593,0.0688350768486104,0.16425459072517895,0.46292941858979597,0.32026143790849676,0.29566100687306435,0.15000514249477423,0.05519812994182756,0.030986810177950276,0.03092161751922348,0.2
AvgKNN,0.13838667045248143,0.027914172139740664,0.13111441237502355,0.8055555555555556,0.1286195286195286,0.011466887841389353,0.6369462686598237,0.04314057780739402,0.04604645195096151,0.8055555555555556,0.2745535714285714,0.5833333333333333,0.3006628787878788,0.45606060606060606,0.19914751914751916,0.46380952380952384,0.36270600744284953,0.2922619047619048,0.4321789321789321,0.4583333333333333,0.34652777777777777,0.18582673453996984,0.22519841269841268,0.8225,0.2242275698158051,0.8658661896624824,0.29530721087267886,0.21385114514851178,0.12026077097505669,0.20478312537136067,0.3206717483414281,0.4895610523470935,0.1564338886919532,0.14964709203839638,0.26666666666666666,0.24285714285714285,0.5830861045924567,0.38541652098250395,0.09753687173042011,0.24074074074074076,0.625,0.3791478129713423,0.4529007577694408,0.7114664502164503,0.11949471240216955,0.08842784165509092,0.2158274259706654,0.03436583296277426,0.35322108846964756,0.2837078651685393,0.41666666666666663,0.2833071690214547,0.6877834467120183,0.4614691146131308,0.39070964794595164,0.5864027868848563,0.03935964028634424,0.2137667339079406,0.15399463253509496,0.6,0.35149928206971764,0.3054385088595615,0.5833333333333333,0.2779363577181913,0.2767022217378095,0.5741164504680988,0.273764292840295,0.1537057682217409,0.09583333333333333,0.05318034237092543,0.12844065656565656,0.09987544362544362,0.06584313725490197,0.7321428571428572,0.07692307692307693,0.9033793098120024,0.21977230012640098,0.18974469884475853,0.180279449444118,0.12901648177280806,0.04796200623538753,0.1606563042910971,0.5050637958532695,0.16345187864175204,0.2922564065241849,0.11438253157190867,0.06900643279820705,0.05661492375049727,0.03522041933466158,0.14285714285714285
BRM,0.11007236512373833,0.029603363911699425,0.096775229550731,0.7,0.39503205128205127,0.011494162513751162,0.48499166749483336,0.04714912280701754,0.038348082595870206,0.8055555555555556,0.12290382819794583,0.325,0.2842948717948718,0.38657796104604614,0.1640851332998456,0.422853926259499,0.36270600744284953,0.3005952380952381,0.36272727272727273,0.4201923076923077,0.23864938080495357,0.18925518925518925,0.21953781512605042,0.8833333333333333,0.26240079365079366,0.857103146360917,0.30581310378129667,0.211770285567077,0.10542346661570422,0.16705780632411066,0.15836156787468103,0.4793770026506599,0.16595769821576273,0.1230976430976431,0.10795454545454546,0.26785714285714285,0.6116121122802228,0.39504054945256656,0.1224388111888112,0.25,0.7,0.3306943830163644,0.42779774062526227,0.7476190476190477,0.13841599758740558,0.09477056949754425,0.1992213730906454,0.0265056219113467,0.3528053082924275,0.276937031835206,1.0,0.3874340313968797,0.7613095238095238,0.35557700557700556,0.18875098837682763,0.5632838927541538,0.04517513917574578,0.06284679696893437,0.2823291050035236,0.75,0.3460142328944432,0.3582402809608692,0.5833333333333333,0.2629094047691695,0.28683649251006016,0.5754030622906569,0.27733644495572785,0.18278604216892824,0.06904761904761905,0.04875305544455646,0.13616938616938618,0.025817011420988575,0.07661657720248247,0.7166666666666667,0.043478260869565216,0.9077736177868478,0.18927898194207,0.1988927178996674,0.10331224268845383,0.20644565249956498,0.048320529775119386,0.15928144186454748,0.3868752119157275,0.043830431958758395,0.29752061389137163,0.1223483765383038,0.07617923475942695,0.051460966506538586,0.030786403170350425,0.07692307692307693
CBLOF,0.1183364554331253,0.03117817561374059,0.08623691863833971,0.3277777777777777,1.0,0.007820394147996738,0.5018629251402161,0.04134395524771024,0.05265354796203658,0.8666666666666667,0.17115705931495406,0.5833333333333333,0.13749999999999998,0.45745404711249116,0.2032667849271623,0.35417972831765937,0.3507142857142857,0.21309523809523812,0.25758620689655176,0.3928030303030303,0.11649099692577955,0.13025935025935026,0.11290018488785092,0.6170406732117812,0.16195525669209881,0.7437517302215605,0.2925022618812199,0.16367200059979098,0.14039730834862682,0.169760101010101,0.35919473480449093,0.4866256437896753,0.3660873440285205,0.1416938616938617,0.29166666666666663,0.30952380952380953,0.5608403765546622,0.3800535791917604,0.09499863163656266,0.22962962962962963,0.6428571428571428,0.41109625668449196,0.3782285754509156,0.44380498136892,1.0,0.04485393192986969,0.14140829778338573,0.037529507210018055,0.976190476190476,0.2331761401743796,0.75,0.3221193022663611,0.5885154061624649,0.43972199016058666,0.41648869549744827,0.5392845260873701,0.11398008478753821,0.25831604426002763,0.05918560606060606,0.18382352941176472,0.16682984993783315,0.4587596665460442,0.5833333333333333,0.281965272411663,0.30604981461743713,0.26578155990884994,0.2699428538032562,0.2645235201172179,0.11666666666666667,0.0470495738960921,0.11472457627118643,0.08559021623537753,0.03560727590398465,0.6,0.09090909090909091,0.857480702910796,0.2978795295686551,0.20582792382801998,0.23756452447754461,0.10989807019468076,0.04645845479776613,0.14857926367858976,0.5325896325896325,0.31930390420777466,0.2801081847850867,0.14221686437435108,0.0659324680198671,0.03443946467064221,0.04865820906993586,0.25
COF,0.08729042557085773,0.024803607328063856,0.218980463980464,0.17261904761904762,1.0,0.011063371965330322,0.4495075295075295,0.07341573245725067,0.04262943453463308,0.6388888888888888,0.9166666666666666,0.5833333333333333,0.39017857142857143,0.5802002583979328,0.4533333333333333,0.8526315789473684,0.4119047619047619,0.3363095238095238,0.38769841269841265,0.4083333333333333,0.5196428571428572,0.21609848484848482,0.4303571428571429,0.6746031746031746,0.29986679986679987,0.7950511262338681,0.24159337032848174,0.26538603995375115,0.143058424923429,0.35833333333333334,0.07280853680282362,0.47000949139986575,0.14102074396192044,0.1243568196509373,0.25,0.25,0.45051299468707084,0.372296453082244,0.14224681687496332,0.2611111111111111,0.5769230769230769,0.31095201095201097,0.4271899641464222,0.6839792070674423,0.2254307951805969,0.08799532753161762,0.15177113187978808,0.07354390820136875,0.8178571428571427,0.12713819977751867,1.0,0.41325757575757577,0.8517316017316017,0.5126262626262627,0.3962086950345848,0.5379561091847815,0.01816327328585393,0.3498275862068966,0.0383416244314003,1.0,0.3064517138793236,0.29987691359208385,0.5833333333333333,0.2562298077442382,0.29384401687460665,0.498411132699088,0.32386896209542415,0.21619874798774727,0.09761904761904762,0.04100462698934708,0.10918799337916986,0.07427128427128427,0.03894841529408952,0.7928571428571428,0.09090909090909091,0.36738885480150124,0.26452506111767815,0.18080807997357418,0.25739707726566297,0.13044923103406486,0.03796002093041653,0.3774448361404883,0.5037303967195309,0.31930390420777466,0.3328862729500093,0.11295272971385749,0.07250317952612606,0.0318067663139278,0.038611964906476434,0.06666666666666667
COPOD,0.05735292455167954,0.04538538781454275,0.04652604478818608,0.1611111111111111,0.9166666666666665,0.011002845050176567,0.3269267824958791,0.04713851838374225,0.038281211402598686,0.5333333333333333,0.2300825593395253,0.16666666666666666,0.09147102897102899,0.3262571809741621,0.08555777555777558,0.6268115942028984,0.16392857142857142,0.22636895268474216,0.16608444187391555,0.16655701754385965,0.15570738440303658,0.20423669467787114,0.15557359307359309,0.5176253176253176,0.09257129133380523,0.9151742595684893,0.4694928582017398,0.1979985396243893,0.30257418756976473,0.1448995083863505,0.46375688581570934,0.5689654178888629,0.27499999999999997,0.11746933621933622,0.2777777777777778,0.13247863247863248,0.6083213379395644,0.3646322775394364,0.23648018648018648,0.1013755980861244,0.5833333333333334,0.514021164021164,0.3683088261743192,0.5917957042957043,1.0,0.06776509785641488,0.07145643428137502,0.04693484072442034,1.0,0.778125,1.0,0.5612244897959183,0.8428571428571427,0.39494949494949494,0.386838546420186,0.5318740123682408,0.017221273822133024,0.01778021166895445,0.014742530335928851,0.20192307692307693,0.45259023033717527,0.6043080993080994,0.14347826086956522,0.34966134206393024,0.32884209578223683,0.2936839922788617,0.3296102777265811,0.6037370025175878,0.10049019607843138,0.04273362981936408,0.13127880184331797,0.1112618576234954,0.02956257967523049,0.5498345740281224,0.05,0.9948525152814748,0.3920257518459404,0.335543713984762,0.14086282293258137,0.1603065479047641,0.054467343604593474,0.39276048026048027,0.5306647593547446,0.08944099378881988,0.31417261353517834,0.12322416678893455,0.2075360906395608,0.19876473161233182,0.13537023636399972,0.047619047619047616
EE,0.20144906880591953,0.038523575282143216,0.14023213812835134,0.6805555555555556,0.6388888888888888,0.014286508128409814,0.4928356279694114,0.06597306597594862,0.05704696773278999,0.9166666666666665,0.5325757575757576,0.5,0.17288510101010102,0.2717800963463846,0.3282828282828283,0.4576330532212885,0.20366479925303455,0.2574786324786325,0.6833333333333333,0.2521103896103896,0.33999999999999997,0.41666666666666663,0.3404761904761905,0.7297979797979797,0.24166666666666664,0.8039586669579151,0.2864417623158152,0.4347858566019872,0.10401437037381737,0.2332875457875458,0.1381812659784436,0.7697264856355766,0.15714285714285714,0.11797844667409885,0.45,0.10833333333333334,0.4984309173884893,0.4442222321627748,0.18666982922201136,0.17727272727272728,0.2,0.6194444444444445,0.5510302362469545,0.5135897508923825,0.13710723186932894,0.08060848647964196,0.2740446214580231,0.035516182384456765,0.21929494319845194,0.13585717084639498,1.0,0.2646600266901019,0.37882395382395384,0.45882352941176474,0.6082864840302309,0.5028819964598659,0.04275277580911883,0.03598808935711077,0.25977685636650416,0.29166666666666663,0.15617095525984057,0.47192057125880654,0.5833333333333333,0.3347618198085328,0.3617565630803214,0.6052327389580371,0.2769584954407027,0.42396128460906857,0.062037037037037036,0.039099764794469784,0.09408227540250011,0.07156593406593406,0.03655960877610362,0.5351449275362319,0.058823529411764705,0.9837586137229534,0.12715236797076798,0.2680482880648905,0.1024790873496293,0.12244869974917222,0.03464688118354631,0.10285869591272567,0.4268405306448785,0.5268026565464896,0.3426965796472237,0.10971078528889015,0.06581800568452076,0.0471608517530229,0.05876209501173389,0.07142857142857142
FA,0.12859170039675882,0.028690164509813848,0.16632342780937692,0.6805555555555556,1.0,0.009870089423646389,0.635851214533385,0.07188583836936496,0.05578472644802522,1.0,0.4432234432234432,0.5833333333333333,0.2714285714285714,0.4780801209372638,0.2514726741760534,0.73,0.3656231094978826,0.31190476190476185,0.5641558441558441,0.4211017740429505,0.5508365508365509,0.2973484848484848,0.29128787878787876,0.6734782608695652,0.1473796671165092,0.8322530785169834,0.2999844865400656,0.2221948125540248,0.1495946249517678,0.35416666666666663,0.38104787932374135,0.5685504446533858,0.3273809523809524,0.12260593466635666,0.11666666666666667,0.10049019607843138,0.5009274719989006,0.4274920822413464,0.3211538461538461,0.1388888888888889,0.5666666666666667,0.41687016687016687,0.29603672817129906,0.43549324858148386,1.0,0.064355865572717,0.16089849321688407,0.03466136781496444,1.0,0.32465698143664246,0.41666666666666663,0.2872549019607843,0.7976190476190474,0.1575285732060648,0.5848762516048861,0.5383851952287263,0.06562609001084284,0.21138692537139503,0.25946991627838584,0.225,0.303444514813709,0.47507279785917556,0.41666666666666663,0.3463356114960063,0.26295298583036525,0.4367340153608702,0.23890758282098062,0.4231872217560515,0.06111111111111111,0.05749467227303438,0.0317196298224222,0.026612874632095253,0.04472523195241325,0.5659722222222222,0.0625,0.8992493243684151,0.3494794616484198,0.20182549379051534,0.11023037292070655,0.12683921501368087,0.03182118427596506,0.09810667836544541,0.3886721452391309,0.04415438984307965,0.33435769409771565,0.13794988642861133,0.07556150889991996,0.06437697093012826,0.0632578339554743,0.06666666666666667
